transition,image_group,image_idx_original,image_idx_within_group,neuron_idx,image_type,stage,response
act,all,1,1,1,Full,Pre,0.0999799443326596
act,all,1,1,2,Full,Pre,1.2524894840294
act,all,1,1,3,Full,Pre,0.898214155058106
act,all,1,1,4,Full,Pre,3.31649740843939
act,all,1,1,5,Full,Pre,0.303122051520594
act,all,1,1,6,Full,Pre,0.192648197264105
act,all,1,1,7,Full,Pre,2.0468239593838
act,all,1,1,8,Full,Pre,2.45962197381198
act,all,1,1,9,Full,Pre,0.43596490960356
act,all,1,1,10,Full,Pre,1.21697391093681
act,all,1,1,11,Full,Pre,1.59962953020943
act,all,1,1,12,Full,Pre,1.36224706083884
act,all,1,1,13,Full,Pre,0.4343085395461
act,all,1,1,14,Full,Pre,-0.31481411916115
act,all,1,1,15,Full,Pre,0.0172934976845491
act,all,1,1,16,Full,Pre,-0.254646909846901
act,all,1,1,17,Full,Pre,-0.451386641628786
act,all,1,1,18,Full,Pre,-0.02823430596776
act,all,1,1,19,Full,Pre,-0.137965981045119
act,all,1,1,20,Full,Pre,-0.607618433485469
act,all,1,1,21,Full,Pre,0.500054729174973
act,all,1,1,22,Full,Pre,-0.147220462915084
act,all,1,1,23,Full,Pre,0.0377872560796764
act,all,1,1,24,Full,Pre,0.164284614521325
act,all,1,1,25,Full,Pre,-0.117586806639852
act,all,1,1,26,Full,Pre,1.21751822042445
act,all,1,1,27,Full,Pre,0.0263486461219389
act,all,1,1,28,Full,Pre,-0.261278272446259
act,all,1,1,29,Full,Pre,0.583058408721656
act,all,1,1,30,Full,Pre,0.541061026356955
act,all,1,1,31,Full,Pre,-0.292125057474502
act,all,1,1,32,Full,Pre,0.316236845099079
act,all,1,1,33,Full,Pre,0.171902881830557
act,all,1,1,34,Full,Pre,-0.121486563223222
act,all,1,1,35,Full,Pre,-0.408896598037074
act,all,1,1,36,Full,Pre,1.11852942995125
act,all,1,1,37,Full,Pre,0.32661936654945
act,all,1,1,38,Full,Pre,-0.03406434665587
act,all,1,1,39,Full,Pre,0.0432191472210734
act,all,1,1,40,Full,Pre,0.071667009405599
act,all,1,1,41,Full,Pre,0.294382750318996
act,all,1,1,42,Full,Pre,0.0201688091232652
act,all,1,1,43,Full,Pre,0.290888312679536
act,all,1,1,44,Full,Pre,3.538198625622
act,all,1,1,45,Full,Pre,-0.118054026256207
act,all,1,1,46,Full,Pre,0.224228324093889
act,all,1,1,47,Full,Pre,0.187058615781957
act,all,1,1,48,Full,Pre,-0.00861088088660786
act,all,1,1,49,Full,Pre,-0.186468440575027
act,all,1,1,50,Full,Pre,-0.0169776028336538
act,all,1,1,51,Full,Pre,0.189766666411839
act,all,1,1,52,Full,Pre,0.482763090159677
act,all,1,1,53,Full,Pre,0.116939217597286
act,all,1,1,54,Full,Pre,1.0789336500366
act,all,1,1,55,Full,Pre,0.191880712939436
act,all,1,1,56,Full,Pre,0.012642875577646
act,all,1,1,57,Full,Pre,0.00545742942248975
act,all,1,1,58,Full,Pre,0.547412404796032
act,all,1,1,59,Full,Pre,0.314433358872651
act,all,1,1,60,Full,Pre,0.296155473350206
act,all,1,1,61,Full,Pre,-0.0160845148880612
act,all,1,1,62,Full,Pre,0.0482570648526466
act,all,1,1,63,Full,Pre,0.0176424544478526
act,all,1,1,64,Full,Pre,0.0200054239965715
act,all,1,1,65,Full,Pre,0.708761623087305
act,all,1,1,66,Full,Pre,0.0959683403343483
act,all,1,1,67,Full,Pre,0.228503685719595
act,all,1,1,68,Full,Pre,0.173684397428429
act,all,1,1,69,Full,Pre,0.321557932441356
act,all,1,1,70,Full,Pre,-0.0529345163469893
act,all,1,1,71,Full,Pre,0.115261094279478
act,all,1,1,72,Full,Pre,0.323865313030259
act,all,1,1,73,Full,Pre,0.769455533061919
act,all,1,1,74,Full,Pre,0.824352168991285
act,all,1,1,75,Full,Pre,-0.0174993069676428
act,all,1,1,76,Full,Pre,-0.117186529029391
act,all,1,1,77,Full,Pre,-0.0399688799833313
act,all,1,1,78,Full,Pre,0.108786568764013
act,all,1,1,79,Full,Pre,-0.0769542235455097
act,all,1,1,80,Full,Pre,0.625545196257523
act,all,1,1,81,Full,Pre,1.62287045898085
act,all,1,1,82,Full,Pre,0.790139046396309
act,all,1,1,83,Full,Pre,-0.248428857731608
act,all,1,1,84,Full,Pre,0.831591602718924
