transition,image_group,image_idx_original,image_idx_within_group,neuron_idx,image_type,stage,response
post,familiar,1,1,1,Full,Pre,0.0999799443326596
post,familiar,1,1,2,Full,Pre,1.2524894840294
post,familiar,1,1,3,Full,Pre,-0.518338280588163
post,familiar,1,1,4,Full,Pre,0.0427933422876577
post,familiar,1,1,5,Full,Pre,3.31649740843939
post,familiar,1,1,6,Full,Pre,-0.186685864748532
post,familiar,1,1,7,Full,Pre,0.417892046987144
post,familiar,1,1,8,Full,Pre,0.303122051520594
post,familiar,1,1,9,Full,Pre,0.192648197264105
post,familiar,1,1,10,Full,Pre,-0.109064420622373
post,familiar,1,1,11,Full,Pre,1.68098055466163
post,familiar,1,1,12,Full,Pre,2.0468239593838
post,familiar,1,1,13,Full,Pre,2.45962197381198
post,familiar,1,1,14,Full,Pre,-0.303298321142703
post,familiar,1,1,15,Full,Pre,4.43703597744113
post,familiar,1,1,16,Full,Pre,0.43596490960356
post,familiar,1,1,17,Full,Pre,0.928335468536346
post,familiar,1,1,18,Full,Pre,-0.15541209752275
post,familiar,1,1,19,Full,Pre,1.21697391093681
post,familiar,1,1,20,Full,Pre,3.23880589362228
post,familiar,1,1,21,Full,Pre,0.535263509910017
post,familiar,1,1,22,Full,Pre,1.36224706083884
post,familiar,1,1,23,Full,Pre,0.0428644090649509
post,familiar,1,1,24,Full,Pre,3.81537515651375
post,familiar,1,1,25,Full,Pre,0.4343085395461
post,familiar,1,1,26,Full,Pre,-0.31481411916115
post,familiar,1,1,27,Full,Pre,0.0172934976845491
post,familiar,1,1,28,Full,Pre,0.207480294996451
post,familiar,1,1,29,Full,Pre,-0.254646909846901
post,familiar,1,1,30,Full,Pre,-0.135675585354867
post,familiar,1,1,31,Full,Pre,0.075264508844061
post,familiar,1,1,32,Full,Pre,-0.451386641628786
post,familiar,1,1,33,Full,Pre,0.182740755732247
post,familiar,1,1,34,Full,Pre,-0.02823430596776
post,familiar,1,1,35,Full,Pre,-0.137965981045119
post,familiar,1,1,36,Full,Pre,-0.607618433485469
post,familiar,1,1,37,Full,Pre,0.0097848074814868
post,familiar,1,1,38,Full,Pre,1.39434339728154
post,familiar,1,1,39,Full,Pre,0.500054729174973
post,familiar,1,1,40,Full,Pre,0.376875502258602
post,familiar,1,1,41,Full,Pre,-0.147220462915084
post,familiar,1,1,42,Full,Pre,0.0377872560796764
post,familiar,1,1,43,Full,Pre,0.164284614521325
post,familiar,1,1,44,Full,Pre,-0.117586806639852
post,familiar,1,1,45,Full,Pre,0.428434585832941
post,familiar,1,1,46,Full,Pre,1.21751822042445
post,familiar,1,1,47,Full,Pre,0.193955088099159
post,familiar,1,1,48,Full,Pre,0.0263486461219389
post,familiar,1,1,49,Full,Pre,-0.261278272446259
post,familiar,1,1,50,Full,Pre,0.583058408721656
post,familiar,1,1,51,Full,Pre,0.729780076322046
