transition,transition_label,transition_row,experiment_phase,phase_label,phase_index,condition,condition_label,condition_index,image_type,trace_label,trace_index,step,y,plot_window_start,plot_window_end,stim_start,stim_end,experiment_series,seed
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,951.0,0.015231320634484291,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,952.0,0.01816255785524845,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,953.0,0.017254428938031197,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,954.0,0.016391707584261894,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,955.0,0.015572122298181057,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,956.0,0.019411368295550346,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,957.0,0.01844079978764057,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,958.0,0.01751875877380371,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,959.0,0.016642820090055466,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,960.0,0.015810679644346237,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,961.0,0.016963019967079163,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,962.0,0.016114868223667145,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,963.0,0.015309124253690243,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,964.0,0.014543667435646057,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,965.0,0.01381648425012827,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,966.0,0.01312565989792347,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,967.0,0.012469376437366009,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,968.0,0.018077168613672256,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,969.0,0.01717331074178219,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,970.0,0.016314644366502762,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,971.0,0.015498911961913109,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,972.0,0.016688596457242966,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,973.0,0.015854166820645332,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,974.0,0.015914034098386765,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,975.0,0.015118332579731941,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,976.0,0.014362416230142117,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,977.0,0.013644294813275337,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,978.0,0.012962079606950283,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,979.0,0.012313975021243095,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,980.0,0.011698275804519653,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,981.0,0.011113361455500126,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,982.0,0.010557693429291248,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,983.0,0.0100298086181283,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,984.0,0.009528318420052528,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,985.0,0.00905190221965313,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,986.0,0.008864636532962322,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,987.0,0.008421404287219048,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,988.0,0.008000333793461323,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,989.0,0.0076003167778253555,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,990.0,0.00722030084580183,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,991.0,0.00685928575694561,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,992.0,0.006516321562230587,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,993.0,0.012235665693879128,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,994.0,0.015350070782005787,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,995.0,0.014582566916942596,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,996.0,0.013853438198566437,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,997.0,0.0131607661023736,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,998.0,0.012502728030085564,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,999.0,0.011877591721713543,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1000.0,0.011283711530268192,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1001.0,0.015491632744669914,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1002.0,0.014717050828039646,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1003.0,0.013981197960674763,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1004.0,0.013282137922942638,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1005.0,0.016583064571022987,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1006.0,0.015753911808133125,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1007.0,0.023249581456184387,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1008.0,0.02453571744263172,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1009.0,0.0247784573584795,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1010.0,0.02705587074160576,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1011.0,0.025703076273202896,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1012.0,0.024417921900749207,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1013.0,0.023197025060653687,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1014.0,0.025260915979743004,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1015.0,0.031796786934137344,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1016.0,0.030419982969760895,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1017.0,0.02889898419380188,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1018.0,0.0357026532292366,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1019.0,0.04056118056178093,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1020.0,0.03853312134742737,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1021.0,0.03660646453499794,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1022.0,0.03477614000439644,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
un_un,un -> un,0,expert,Expert,0,familiar_1,Familiar 1,0,full,Nonoccluded,0,1023.0,0.03303733095526695,950.0,1350.0,1100.0,1200.0,training_occluded_only,42
