ablation,ablation_label,transition,transition_label,phase,phase_label,value,n_familiar_conditions
full_model,Full model,un_un,un -> un,naive,Naive,3.655776650505859,2
full_model,Full model,un_un,un -> un,expert,Expert,3.83045444802624,2
full_model,Full model,un_FF,un -> FF,naive,Naive,-0.1756568223037112,2
full_model,Full model,un_FF,un -> FF,expert,Expert,-21.71286161217884,2
full_model,Full model,un_FB,un -> FB,naive,Naive,4.052483436367425,2
full_model,Full model,un_FB,un -> FB,expert,Expert,24.36651448216189,2
full_model,Full model,FF_un,FF -> un,naive,Naive,-26.857961985845197,2
full_model,Full model,FF_un,FF -> un,expert,Expert,3.063750668841248,2
full_model,Full model,FF_FF,FF -> FF,naive,Naive,-30.312094022876853,2
full_model,Full model,FF_FF,FF -> FF,expert,Expert,-34.24446322903523,2
full_model,Full model,FF_FB_broad,"FF -> FB
(broad)",naive,Naive,-19.24436890269895,2
full_model,Full model,FF_FB_broad,"FF -> FB
(broad)",expert,Expert,29.920811021925065,2
full_model,Full model,FF_FB_broad_novel,"FF -> FB
(broad nov)",naive,Naive,-19.592233551428382,2
full_model,Full model,FF_FB_broad_novel,"FF -> FB
(broad nov)",expert,Expert,28.893774026485104,2
full_model,Full model,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",naive,Naive,-15.788398502238463,2
full_model,Full model,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",expert,Expert,27.546275993934408,2
full_model,Full model,FF_FB_narrow_familiar_novel,"FF -> FB
(narrow fam+nov)",naive,Naive,-16.170665739783225,2
full_model,Full model,FF_FB_narrow_familiar_novel,"FF -> FB
(narrow fam+nov)",expert,Expert,25.048780687209465,2
full_model,Full model,FF_FB_narrow_novel,"FF -> FB
(narrow nov)",naive,Naive,9.023569440161026,2
full_model,Full model,FF_FB_narrow_novel,"FF -> FB
(narrow nov)",expert,Expert,29.031824358754037,2
full_model,Full model,FB_FB,FB -> FB,naive,Naive,24.90416904459419,2
full_model,Full model,FB_FB,FB -> FB,expert,Expert,32.873517916351446,2
use_FF_connection,No FF conn.,un_un,un -> un,naive,Naive,3.679566307641656,2
use_FF_connection,No FF conn.,un_un,un -> un,expert,Expert,3.8277056863018952,2
use_FF_connection,No FF conn.,un_FF,un -> FF,naive,Naive,0.2753172870728692,2
use_FF_connection,No FF conn.,un_FF,un -> FF,expert,Expert,0.4278436123953559,2
use_FF_connection,No FF conn.,un_FB,un -> FB,naive,Naive,4.08507681770368,2
use_FF_connection,No FF conn.,un_FB,un -> FB,expert,Expert,24.3694081889934,2
use_FF_connection,No FF conn.,FF_un,FF -> un,naive,Naive,2.311855952605975,2
use_FF_connection,No FF conn.,FF_un,FF -> un,expert,Expert,3.9300677938139055,2
use_FF_connection,No FF conn.,FF_FF,FF -> FF,naive,Naive,0.2614723609876662,2
use_FF_connection,No FF conn.,FF_FF,FF -> FF,expert,Expert,0.6818697452884757,2
use_FF_connection,No FF conn.,FF_FB_broad,"FF -> FB
(broad)",naive,Naive,10.303014531756965,2
use_FF_connection,No FF conn.,FF_FB_broad,"FF -> FB
(broad)",expert,Expert,32.41728064422893,2
use_FF_connection,No FF conn.,FF_FB_broad_novel,"FF -> FB
(broad nov)",naive,Naive,10.303014531756965,2
use_FF_connection,No FF conn.,FF_FB_broad_novel,"FF -> FB
(broad nov)",expert,Expert,32.41728064422893,2
use_FF_connection,No FF conn.,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",naive,Naive,10.303014531756965,2
use_FF_connection,No FF conn.,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",expert,Expert,32.41728064422893,2
use_FF_connection,No FF conn.,FF_FB_narrow_familiar_novel,"FF -> FB
(narrow fam+nov)",naive,Naive,10.303014531756965,2
use_FF_connection,No FF conn.,FF_FB_narrow_familiar_novel,"FF -> FB
(narrow fam+nov)",expert,Expert,32.41728064422893,2
use_FF_connection,No FF conn.,FF_FB_narrow_novel,"FF -> FB
(narrow nov)",naive,Naive,10.303014531756965,2
use_FF_connection,No FF conn.,FF_FB_narrow_novel,"FF -> FB
(narrow nov)",expert,Expert,32.41728064422893,2
use_FF_connection,No FF conn.,FB_FB,FB -> FB,naive,Naive,24.904169412213,2
use_FF_connection,No FF conn.,FB_FB,FB -> FB,expert,Expert,32.87321098970045,2
FF_plasticity,No FF plast.,un_un,un -> un,naive,Naive,3.655776650505859,2
FF_plasticity,No FF plast.,un_un,un -> un,expert,Expert,3.832723651253185,2
FF_plasticity,No FF plast.,un_FF,un -> FF,naive,Naive,-0.1756568223037112,2
FF_plasticity,No FF plast.,un_FF,un -> FF,expert,Expert,0.0057435196195745,2
FF_plasticity,No FF plast.,un_FB,un -> FB,naive,Naive,4.052483436367425,2
FF_plasticity,No FF plast.,un_FB,un -> FB,expert,Expert,24.355266772860755,2
FF_plasticity,No FF plast.,FF_un,FF -> un,naive,Naive,-26.857961985845197,2
FF_plasticity,No FF plast.,FF_un,FF -> un,expert,Expert,2.823557921222037,2
FF_plasticity,No FF plast.,FF_FF,FF -> FF,naive,Naive,-30.312094022876853,2
FF_plasticity,No FF plast.,FF_FF,FF -> FF,expert,Expert,-28.30073332234264,2
FF_plasticity,No FF plast.,FF_FB_broad,"FF -> FB
(broad)",naive,Naive,-19.24436890269895,2
FF_plasticity,No FF plast.,FF_FB_broad,"FF -> FB
(broad)",expert,Expert,29.07742752775303,2
FF_plasticity,No FF plast.,FF_FB_broad_novel,"FF -> FB
(broad nov)",naive,Naive,-19.592233551428382,2
FF_plasticity,No FF plast.,FF_FB_broad_novel,"FF -> FB
(broad nov)",expert,Expert,28.170332942576852,2
FF_plasticity,No FF plast.,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",naive,Naive,-15.788398502238463,2
FF_plasticity,No FF plast.,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",expert,Expert,25.418427637836096,2
FF_plasticity,No FF plast.,FF_FB_narrow_familiar_novel,"FF -> FB
(narrow fam+nov)",naive,Naive,-16.170665739783225,2
FF_plasticity,No FF plast.,FF_FB_narrow_familiar_novel,"FF -> FB
(narrow fam+nov)",expert,Expert,23.27853266685917,2
FF_plasticity,No FF plast.,FF_FB_narrow_novel,"FF -> FB
(narrow nov)",naive,Naive,9.023569440161026,2
FF_plasticity,No FF plast.,FF_FB_narrow_novel,"FF -> FB
(narrow nov)",expert,Expert,28.99216067097781,2
FF_plasticity,No FF plast.,FB_FB,FB -> FB,naive,Naive,24.90416904459419,2
FF_plasticity,No FF plast.,FB_FB,FB -> FB,expert,Expert,32.87321124099355,2
use_FB_connection,No FB conn.,un_un,un -> un,naive,Naive,3.655776650505859,2
use_FB_connection,No FB conn.,un_un,un -> un,expert,Expert,3.83045444802624,2
use_FB_connection,No FB conn.,un_FF,un -> FF,naive,Naive,-0.1646572724042082,2
use_FB_connection,No FB conn.,un_FF,un -> FF,expert,Expert,-18.707273951393695,2
use_FB_connection,No FB conn.,un_FB,un -> FB,naive,Naive,3.655776650505859,2
use_FB_connection,No FB conn.,un_FB,un -> FB,expert,Expert,3.83045444802624,2
use_FB_connection,No FB conn.,FF_un,FF -> un,naive,Naive,-26.857961985845197,2
use_FB_connection,No FB conn.,FF_un,FF -> un,expert,Expert,3.063750668841248,2
use_FB_connection,No FB conn.,FF_FF,FF -> FF,naive,Naive,-30.312094022876853,2
use_FB_connection,No FB conn.,FF_FF,FF -> FF,expert,Expert,-34.24446322903523,2
use_FB_connection,No FB conn.,FF_FB_broad,"FF -> FB
(broad)",naive,Naive,-17.56290759758607,2
use_FB_connection,No FB conn.,FF_FB_broad,"FF -> FB
(broad)",expert,Expert,3.816070787601536,2
use_FB_connection,No FB conn.,FF_FB_broad_novel,"FF -> FB
(broad nov)",naive,Naive,-17.951732433014783,2
use_FB_connection,No FB conn.,FF_FB_broad_novel,"FF -> FB
(broad nov)",expert,Expert,3.849794774216416,2
use_FB_connection,No FB conn.,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",naive,Naive,-17.79049441055137,2
use_FB_connection,No FB conn.,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",expert,Expert,3.2977009383048226,2
use_FB_connection,No FB conn.,FF_FB_narrow_familiar_novel,"FF -> FB
(narrow fam+nov)",naive,Naive,-18.465554404039526,2
use_FB_connection,No FB conn.,FF_FB_narrow_familiar_novel,"FF -> FB
(narrow fam+nov)",expert,Expert,3.3125929886028165,2
use_FB_connection,No FB conn.,FF_FB_narrow_novel,"FF -> FB
(narrow nov)",naive,Naive,3.488001560861981,2
use_FB_connection,No FB conn.,FF_FB_narrow_novel,"FF -> FB
(narrow nov)",expert,Expert,3.896653391453994,2
use_FB_connection,No FB conn.,FB_FB,FB -> FB,naive,Naive,2.93889480383774,2
use_FB_connection,No FB conn.,FB_FB,FB -> FB,expert,Expert,2.7832125058406083,2
FB_plasticity,No FB plast.,un_un,un -> un,naive,Naive,3.655776650505859,2
FB_plasticity,No FB plast.,un_un,un -> un,expert,Expert,3.83045444802624,2
FB_plasticity,No FB plast.,un_FF,un -> FF,naive,Naive,-0.1756568223037112,2
FB_plasticity,No FB plast.,un_FF,un -> FF,expert,Expert,-21.48070700698676,2
FB_plasticity,No FB plast.,un_FB,un -> FB,naive,Naive,4.052483436367425,2
FB_plasticity,No FB plast.,un_FB,un -> FB,expert,Expert,4.242083513346459,2
FB_plasticity,No FB plast.,FF_un,FF -> un,naive,Naive,-26.857961985845197,2
FB_plasticity,No FB plast.,FF_un,FF -> un,expert,Expert,3.063750668841248,2
FB_plasticity,No FB plast.,FF_FF,FF -> FF,naive,Naive,-30.312094022876853,2
FB_plasticity,No FB plast.,FF_FF,FF -> FF,expert,Expert,-34.24446322903523,2
FB_plasticity,No FB plast.,FF_FB_broad,"FF -> FB
(broad)",naive,Naive,-19.24436890269895,2
FB_plasticity,No FB plast.,FF_FB_broad,"FF -> FB
(broad)",expert,Expert,11.8234784544876,2
FB_plasticity,No FB plast.,FF_FB_broad_novel,"FF -> FB
(broad nov)",naive,Naive,-19.592233551428382,2
FB_plasticity,No FB plast.,FF_FB_broad_novel,"FF -> FB
(broad nov)",expert,Expert,11.80143946923449,2
FB_plasticity,No FB plast.,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",naive,Naive,-15.788398502238463,2
FB_plasticity,No FB plast.,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",expert,Expert,10.975436147795175,2
FB_plasticity,No FB plast.,FF_FB_narrow_familiar_novel,"FF -> FB
(narrow fam+nov)",naive,Naive,-16.170665739783225,2
FB_plasticity,No FB plast.,FF_FB_narrow_familiar_novel,"FF -> FB
(narrow fam+nov)",expert,Expert,10.66084413961642,2
FB_plasticity,No FB plast.,FF_FB_narrow_novel,"FF -> FB
(narrow nov)",naive,Naive,9.023569440161026,2
FB_plasticity,No FB plast.,FF_FB_narrow_novel,"FF -> FB
(narrow nov)",expert,Expert,11.794141584929978,2
FB_plasticity,No FB plast.,FB_FB,FB -> FB,naive,Naive,24.90416904459419,2
FB_plasticity,No FB plast.,FB_FB,FB -> FB,expert,Expert,22.763178802788772,2
use_lat_connection,No LAT conn.,un_un,un -> un,naive,Naive,-0.3427867896935034,2
use_lat_connection,No LAT conn.,un_un,un -> un,expert,Expert,0.1242961946167737,2
use_lat_connection,No LAT conn.,un_FF,un -> FF,naive,Naive,-0.3625610379981141,2
use_lat_connection,No LAT conn.,un_FF,un -> FF,expert,Expert,-23.756576190397524,2
use_lat_connection,No LAT conn.,un_FB,un -> FB,naive,Naive,-0.3625610379981141,2
use_lat_connection,No LAT conn.,un_FB,un -> FB,expert,Expert,0.2164753825714154,2
use_lat_connection,No LAT conn.,FF_un,FF -> un,naive,Naive,-30.44738161377082,2
use_lat_connection,No LAT conn.,FF_un,FF -> un,expert,Expert,-12.472337832510954,2
use_lat_connection,No LAT conn.,FF_FF,FF -> FF,naive,Naive,-30.44738161377082,2
use_lat_connection,No LAT conn.,FF_FF,FF -> FF,expert,Expert,-34.95433652085617,2
use_lat_connection,No LAT conn.,FF_FB_broad,"FF -> FB
(broad)",naive,Naive,-30.41111342741676,2
use_lat_connection,No LAT conn.,FF_FB_broad,"FF -> FB
(broad)",expert,Expert,-2.849005298439618,2
use_lat_connection,No LAT conn.,FF_FB_broad_novel,"FF -> FB
(broad nov)",naive,Naive,-31.17261453915736,2
use_lat_connection,No LAT conn.,FF_FB_broad_novel,"FF -> FB
(broad nov)",expert,Expert,-3.054492647711191,2
use_lat_connection,No LAT conn.,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",naive,Naive,-24.21953559360949,2
use_lat_connection,No LAT conn.,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",expert,Expert,-8.44949951807803,2
use_lat_connection,No LAT conn.,FF_FB_narrow_familiar_novel,"FF -> FB
(narrow fam+nov)",naive,Naive,-25.08625604559395,2
use_lat_connection,No LAT conn.,FF_FB_narrow_familiar_novel,"FF -> FB
(narrow fam+nov)",expert,Expert,-8.422908628345642,2
use_lat_connection,No LAT conn.,FF_FB_narrow_novel,"FF -> FB
(narrow nov)",naive,Naive,-0.9625058962141586,2
use_lat_connection,No LAT conn.,FF_FB_narrow_novel,"FF -> FB
(narrow nov)",expert,Expert,-0.1171695333667148,2
use_lat_connection,No LAT conn.,FB_FB,FB -> FB,naive,Naive,0.0352320185233132,2
use_lat_connection,No LAT conn.,FB_FB,FB -> FB,expert,Expert,0.1541315323330714,2
lat_plasticity,No LAT plast.,un_un,un -> un,naive,Naive,3.655776650505859,2
lat_plasticity,No LAT plast.,un_un,un -> un,expert,Expert,3.8469205557444033,2
lat_plasticity,No LAT plast.,un_FF,un -> FF,naive,Naive,-0.1756568223037112,2
lat_plasticity,No LAT plast.,un_FF,un -> FF,expert,Expert,-21.9624506170624,2
lat_plasticity,No LAT plast.,un_FB,un -> FB,naive,Naive,4.052483436367425,2
lat_plasticity,No LAT plast.,un_FB,un -> FB,expert,Expert,24.312802789688988,2
lat_plasticity,No LAT plast.,FF_un,FF -> un,naive,Naive,-26.857961985845197,2
lat_plasticity,No LAT plast.,FF_un,FF -> un,expert,Expert,-4.361951787482664,2
lat_plasticity,No LAT plast.,FF_FF,FF -> FF,naive,Naive,-30.312094022876853,2
lat_plasticity,No LAT plast.,FF_FF,FF -> FF,expert,Expert,-34.32141285981814,2
lat_plasticity,No LAT plast.,FF_FB_broad,"FF -> FB
(broad)",naive,Naive,-19.24436890269895,2
lat_plasticity,No LAT plast.,FF_FB_broad,"FF -> FB
(broad)",expert,Expert,22.64990111053884,2
lat_plasticity,No LAT plast.,FF_FB_broad_novel,"FF -> FB
(broad nov)",naive,Naive,-19.592233551428382,2
lat_plasticity,No LAT plast.,FF_FB_broad_novel,"FF -> FB
(broad nov)",expert,Expert,21.74555955543399,2
lat_plasticity,No LAT plast.,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",naive,Naive,-15.788398502238463,2
lat_plasticity,No LAT plast.,FF_FB_narrow_familiar,"FF -> FB
(narrow fam)",expert,Expert,19.80487938482063,2
lat_plasticity,No LAT plast.,FF_FB_narrow_familiar_novel,"FF -> FB
(narrow fam+nov)",naive,Naive,-16.170665739783225,2
lat_plasticity,No LAT plast.,FF_FB_narrow_familiar_novel,"FF -> FB
(narrow fam+nov)",expert,Expert,17.96712812953337,2
lat_plasticity,No LAT plast.,FF_FB_narrow_novel,"FF -> FB
(narrow nov)",naive,Naive,9.023569440161026,2
lat_plasticity,No LAT plast.,FF_FB_narrow_novel,"FF -> FB
(narrow nov)",expert,Expert,28.144022623200954,2
lat_plasticity,No LAT plast.,FB_FB,FB -> FB,naive,Naive,24.90416904459419,2
lat_plasticity,No LAT plast.,FB_FB,FB -> FB,expert,Expert,33.04101151532774,2
use_pv_lat_connection,No PY->PV conn.,un_un,un -> un,naive,Naive,3.659741592053491,2
use_pv_lat_connection,No PY->PV conn.,un_un,un -> un,expert,Expert,3.837343687434908,2
use_pv_lat_connection,No PY->PV conn.,un_FF,un -> FF,naive,Naive,-0.1782092430001345,2
use_pv_lat_connection,No PY->PV conn.,un_FF,un -> FF,expert,Expert,-21.870089910312988,2
use_pv_lat_connection,No PY->PV conn.,un_FB,un -> FB,naive,Naive,4.061268253986054,2
use_pv_lat_connection,No PY->PV conn.,un_FB,un -> FB,expert,Expert,24.97861471657977,2
use_pv_lat_connection,No PY->PV conn.,FF_un,FF -> un,naive,Naive,-26.960877583884457,2
use_pv_lat_connection,No PY->PV conn.,FF_un,FF -> un,expert,Expert,2.9934162380545724,2
use_pv_lat_connection,No PY->PV conn.,FF_FF,FF -> FF,naive,Naive,-30.335492294869532,2
use_pv_lat_connection,No PY->PV conn.,FF_FF,FF -> FF,expert,Expert,-34.38991130354407,2
use_pv_lat_connection,No PY->PV conn.,FF_FB_broad,"FF -> FB
(broad)",naive,Naive,-20.111840146281217,2
use_pv_lat_connection,No PY->PV conn.,FF_FB_broad,"FF -> FB
(broad)",expert,Expert,31.233796156784088,2
