ablation,ablation_label,transition,transition_label,phase,phase_label,value,n_familiar_conditions
full_model,Full model,un_un,un -> un,naive,Naive,1.9593291353394262,2
full_model,Full model,un_un,un -> un,expert,Expert,2.41729311567718,2
full_model,Full model,un_FF,un -> FF,naive,Naive,-0.11506268269114632,2
full_model,Full model,un_FF,un -> FF,expert,Expert,-1.960416566278513,2
use_FF_connection,No FF conn.,un_un,un -> un,naive,Naive,1.9750574277138715,2
use_FF_connection,No FF conn.,un_un,un -> un,expert,Expert,2.416801983592328,2
use_FF_connection,No FF conn.,un_FF,un -> FF,naive,Naive,0.13475494270723398,2
use_FF_connection,No FF conn.,un_FF,un -> FF,expert,Expert,0.20662860427252075,2
FF_plasticity,No FF plast.,un_un,un -> un,naive,Naive,1.9593291353394262,2
FF_plasticity,No FF plast.,un_un,un -> un,expert,Expert,2.41710503648277,2
FF_plasticity,No FF plast.,un_FF,un -> FF,naive,Naive,-0.11506268269114632,2
FF_plasticity,No FF plast.,un_FF,un -> FF,expert,Expert,-0.08484875524767242,2
use_FB_connection,No FB conn.,un_un,un -> un,naive,Naive,1.9593291353394262,2
use_FB_connection,No FB conn.,un_un,un -> un,expert,Expert,2.41729311567718,2
use_FB_connection,No FB conn.,un_FF,un -> FF,naive,Naive,-0.10056303498113053,2
use_FB_connection,No FB conn.,un_FF,un -> FF,expert,Expert,-1.7376239157369118,2
FB_plasticity,No FB plast.,un_un,un -> un,naive,Naive,1.9593291353394262,2
FB_plasticity,No FB plast.,un_un,un -> un,expert,Expert,2.41729311567718,2
FB_plasticity,No FB plast.,un_FF,un -> FF,naive,Naive,-0.11506268269114632,2
FB_plasticity,No FB plast.,un_FF,un -> FF,expert,Expert,-1.9547761402769321,2
use_lat_connection,No LAT conn.,un_un,un -> un,naive,Naive,-0.1954437947151647,2
use_lat_connection,No LAT conn.,un_un,un -> un,expert,Expert,0.0807995295366326,2
use_lat_connection,No LAT conn.,un_FF,un -> FF,naive,Naive,-0.21344899569913012,2
use_lat_connection,No LAT conn.,un_FF,un -> FF,expert,Expert,-2.1978952848807927,2
lat_plasticity,No LAT plast.,un_un,un -> un,naive,Naive,1.9593291353394262,2
lat_plasticity,No LAT plast.,un_un,un -> un,expert,Expert,2.415677051361752,2
lat_plasticity,No LAT plast.,un_FF,un -> FF,naive,Naive,-0.11506268269114632,2
lat_plasticity,No LAT plast.,un_FF,un -> FF,expert,Expert,-1.970053769311337,2
use_pv_lat_connection,No PY->PV conn.,un_un,un -> un,naive,Naive,1.957840834684594,2
use_pv_lat_connection,No PY->PV conn.,un_un,un -> un,expert,Expert,2.4023522522274097,2
use_pv_lat_connection,No PY->PV conn.,un_FF,un -> FF,naive,Naive,-0.1161023545829924,2
use_pv_lat_connection,No PY->PV conn.,un_FF,un -> FF,expert,Expert,-1.9653918263369756,2
pv_lat_plasticity,No PY->PV plast.,un_un,un -> un,naive,Naive,1.9593291353394262,2
pv_lat_plasticity,No PY->PV plast.,un_un,un -> un,expert,Expert,2.416858772644097,2
pv_lat_plasticity,No PY->PV plast.,un_FF,un -> FF,naive,Naive,-0.11506268269114632,2
pv_lat_plasticity,No PY->PV plast.,un_FF,un -> FF,expert,Expert,-1.9605834036239087,2
use_pv_connection,No FF->PV conn.,un_un,un -> un,naive,Naive,-0.18322264412731312,2
use_pv_connection,No FF->PV conn.,un_un,un -> un,expert,Expert,0.13780129722180678,2
use_pv_connection,No FF->PV conn.,un_FF,un -> FF,naive,Naive,-0.21324050230954167,2
use_pv_connection,No FF->PV conn.,un_FF,un -> FF,expert,Expert,-2.1787264050659063,2
pv_plasticity,No FF->PV plast.,un_un,un -> un,naive,Naive,1.9593291353394262,2
pv_plasticity,No FF->PV plast.,un_un,un -> un,expert,Expert,2.341677119589723,2
pv_plasticity,No FF->PV plast.,un_FF,un -> FF,naive,Naive,-0.11506268269114632,2
pv_plasticity,No FF->PV plast.,un_FF,un -> FF,expert,Expert,-1.987222797700627,2
all_adaptation_plasticity,No all adapt. plast.,un_un,un -> un,naive,Naive,1.9593291353394262,2
all_adaptation_plasticity,No all adapt. plast.,un_un,un -> un,expert,Expert,2.315559136355898,2
all_adaptation_plasticity,No all adapt. plast.,un_FF,un -> FF,naive,Naive,-0.11506268269114632,2
all_adaptation_plasticity,No all adapt. plast.,un_FF,un -> FF,expert,Expert,-0.10878458273521811,2
all_lat_plasticity,No LAT adapt. plast.,un_un,un -> un,naive,Naive,1.9593291353394262,2
all_lat_plasticity,No LAT adapt. plast.,un_un,un -> un,expert,Expert,2.415251871280293,2
all_lat_plasticity,No LAT adapt. plast.,un_FF,un -> FF,naive,Naive,-0.11506268269114632,2
all_lat_plasticity,No LAT adapt. plast.,un_FF,un -> FF,expert,Expert,-1.9702034381169127,2
non_pv_adaptation_plasticity,No non-PV adapt. plast.,un_un,un -> un,naive,Naive,1.9593291353394262,2
non_pv_adaptation_plasticity,No non-PV adapt. plast.,un_un,un -> un,expert,Expert,2.41365650616891,2
non_pv_adaptation_plasticity,No non-PV adapt. plast.,un_FF,un -> FF,naive,Naive,-0.11506268269114632,2
non_pv_adaptation_plasticity,No non-PV adapt. plast.,un_FF,un -> FF,expert,Expert,-0.09094890185695303,2
all_non_pv,No all non-PV,un_un,un -> un,naive,Naive,1.957840834684594,2
all_non_pv,No all non-PV,un_un,un -> un,expert,Expert,2.3989386991338053,2
all_non_pv,No all non-PV,un_FF,un -> FF,naive,Naive,-0.1161023545829924,2
all_non_pv,No all non-PV,un_FF,un -> FF,expert,Expert,-0.09298234529928646,2
