image_type,context_mode,context_label,transition_label_a,transition_label_b,edge_count,median_log10_param_distance,median_mid_naive_state,median_mid_expert_state,median_left_purity,median_right_purity
familiar,11,"ctx=(T,T)",FF -> FB,unresponsive -> FB,2474,4.209461345753453,0.02142515227943655,-0.021242154574487325,0.5,0.5
familiar,11,"ctx=(T,T)",FB -> FB,FF -> FB,667,4.234632521371293,0.0007072934545576499,-0.08386938922107215,0.3125,0.21875
familiar,11,"ctx=(T,T)",FF -> FB,FF -> FF,662,4.2080432207372285,0.22629719357006245,-0.00048039679974317496,0.3125,0.28125
familiar,11,"ctx=(T,T)",FB -> FB,unresponsive -> FB,495,4.180685519974044,-0.008664440497756,-0.06753927476704119,0.3125,0.3125
familiar,11,"ctx=(T,T)",FF -> FF,unresponsive -> FB,452,4.254044288394976,0.05060641009919345,-0.0009366063689812967,0.40625,0.21875
familiar,11,"ctx=(T,T)",unresponsive -> FB,unresponsive -> FF,387,4.120213440692987,0.0,-0.001155560368672,0.4375,0.1875
familiar,11,"ctx=(T,T)",FF -> FB,unresponsive -> FF,204,4.165170992395841,0.00540229739435015,-0.0013844857066869528,0.28125,0.21875
familiar,11,"ctx=(T,T)",FF -> FF,unresponsive -> FF,57,4.189402376344173,0.0179501568675041,0.00273595970682795,0.125,0.15625
familiar,11,"ctx=(T,T)",FB -> FB,FF -> FF,24,4.149513032216145,0.023351441334933047,-0.0305488903624937,0.09375,0.09375
familiar,11,"ctx=(T,T)",FB -> FB,unresponsive -> FF,23,4.212864627136609,-0.0019058137629181,-0.032068362308666144,0.15625,0.125
novel,11,"ctx=(T,T)",FF -> FF,unresponsive -> FB,1637,4.222364084986942,0.0252271497175097,0.0158085809098557,0.46875,0.46875
novel,11,"ctx=(T,T)",unresponsive -> FB,unresponsive -> FF,990,4.121609679118721,0.0,-0.0005524430585792501,0.34375,0.34375
novel,11,"ctx=(T,T)",FF -> FF,unresponsive -> FF,896,4.145491783333618,0.0414813239946961,0.041570494579616875,0.34375,0.34375
novel,11,"ctx=(T,T)",FB -> FB,unresponsive -> FB,702,4.199552514598032,-0.00609736169874665,-0.026483606261084723,0.3125,0.3125
novel,11,"ctx=(T,T)",FB -> FB,FF -> FF,675,4.213533372141267,0.00796599784400315,0.0006505185384303482,0.3125,0.34375
novel,11,"ctx=(T,T)",FF -> FB,FF -> FF,346,4.172874157312624,0.0315498152589425,0.013367727602832051,0.09375,0.34375
novel,11,"ctx=(T,T)",FF -> FB,unresponsive -> FB,273,4.183685928842183,0.0015404457449913,-0.00870229212474075,0.09375,0.34375
novel,11,"ctx=(T,T)",FB -> FB,FF -> FB,155,4.196103663129321,-0.0025255075320600997,-0.0188911382593214,0.125,0.125
novel,11,"ctx=(T,T)",FB -> FB,unresponsive -> FF,122,4.233896065049432,-0.0048004824016243,-0.00485021031834185,0.1875,0.15625
