candidate_idx,search_group,receives_context_familiar,receives_context_novel,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,full_familiar_naive,occlusion_familiar_naive,full_novel_naive,occlusion_novel_naive,full_familiar_expert,occlusion_familiar_expert,full_novel_expert,occlusion_novel_expert,assigned_target,assigned_objective,assigned_rmse,assigned_mismatch_penalty,assigned_transition_bonus,second_target,second_objective,objective_gap,familiar,novel,familiar_naive_state,familiar_expert_state,novel_naive_state,novel_expert_state,familiar_naive_responsive,familiar_expert_responsive,novel_naive_responsive,novel_expert_responsive,familiar_naive_ff_scalar,familiar_naive_fb_scalar,familiar_expert_ff_scalar,familiar_expert_fb_scalar,novel_naive_ff_scalar,novel_naive_fb_scalar,novel_expert_ff_scalar,novel_expert_fb_scalar,familiar_transition,novel_transition,objective__FF_FB_broad,rmse__FF_FB_broad,mismatch__FF_FB_broad,objective__FF_un,rmse__FF_un,mismatch__FF_un,objective__FF_FB_narrow_familiar,rmse__FF_FB_narrow_familiar,mismatch__FF_FB_narrow_familiar,objective__FF_FB_narrow_novel,rmse__FF_FB_narrow_novel,mismatch__FF_FB_narrow_novel,objective__un_FB,rmse__un_FB,mismatch__un_FB,objective__un_un,rmse__un_un,mismatch__un_un,objective__FB_FB,rmse__FB_FB,mismatch__FB_FB
6,standard,True,True,1e-07,1e-07,0.6,0.6,1.5,1.5,1.5,1.5,0.0005279764575031247,0.05468712480117877,0.0,0.054028708736101785,0.0002294324697383369,0.05743653724590937,0.0002492406757179803,0.058174066990613935,FB_FB,-0.24276785332088668,0.005885022226721048,0,4.973057510952154,un_FB,3.8284311891843874,4.071199042505274,FB -> FB,FB -> FB,-0.05468712480117877,-0.05743653724590937,-0.054028708736101785,-0.058174066990613935,True,True,True,True,0.0,0.05468712480117877,0.0,0.05743653724590937,0.0,0.054028708736101785,0.0,0.058174066990613935,FB -> FB,FB -> FB,4.4418673900623915,1.9952278137207031,4,5.0588224319477675,2.612182855606079,4,4.303368102058054,1.9562300443649292,4,5.633219568298955,3.285065174102783,4,3.8284311891843874,1.5797783136367798,4,3.835586726789673,1.5869338512420654,4,-0.24276785332088668,0.005885022226721048,0
151,standard,True,True,0.00011446529970271513,0.00018657349573913962,0.42300134897232056,0.5061646103858948,1.300229549407959,0.8701119422912598,1.0074951648712158,0.975272536277771,0.0006099958298060907,0.052632137946784494,0.0005502939529833384,0.06489507413158814,0.00020924847340211272,0.0572178844983379,0.000529768631774156,0.06926953742901484,FB_FB,-0.0661452557891607,0.22188401222229004,0,5.7605853602290145,un_FB,4.015763595327735,4.081908851116896,FB -> FB,FB -> FB,-0.052632137946784494,-0.0572178844983379,-0.06489507413158814,-0.06926953742901484,True,True,True,True,0.0,0.052632137946784494,0.0,0.0572178844983379,0.0,0.06489507413158814,0.0,0.06926953742901484,FB -> FB,FB -> FB,4.582427875991501,2.0981972217559814,4,5.183659927840866,2.6994292736053467,4,4.462666843324102,2.0762760639190674,4,5.709735987019182,3.323866844177246,4,4.015763595327735,1.7277343273162842,4,4.023127749189735,1.7350984811782837,4,-0.0661452557891607,0.22188401222229004,0
152,standard,True,True,0.0001330920640612021,9.999999747378752e-05,0.3632320165634155,0.5275428891181946,1.174497127532959,1.4714274406433105,1.5663089752197266,0.5409629344940186,0.00044528153340100594,0.04022498621294896,0.0,0.06184042263776064,5.033287428280649e-05,0.04557516338924567,0.0001998351947501457,0.06649405987312397,FB_FB,0.08165554689864316,0.30992481112480164,0,4.5653852845231695,un_FB,3.766012951855858,3.6843574049572148,FB -> FB,FB -> FB,-0.04022498621294896,-0.04557516338924567,-0.06184042263776064,-0.06649405987312397,True,True,True,True,0.0,0.04022498621294896,0.0,0.04557516338924567,0.0,0.06184042263776064,0.0,0.06649405987312397,FB -> FB,FB -> FB,4.396984251480641,1.9701058864593506,4,5.015507372360768,2.5886290073394775,4,4.250781315096765,1.9235032796859741,4,5.576498448588245,3.248628854751587,4,3.766012951855858,1.5377436876296997,4,3.773542329793175,1.5452730655670166,4,0.08165554689864316,0.30992481112480164,0
166,standard,True,True,0.0001343629992334172,9.999999747378752e-05,0.9080017805099487,1.0356990098953247,2.0,1.266750693321228,2.0,1.9326070547103882,0.0015090312117536087,0.06580070176472266,0.008066343539394439,0.07502718046307563,0.0011092728605338682,0.06769325956702232,0.006812469653474788,0.07809357245763143,FB_FB,0.11264084341625374,0.48587027192115784,0,7.464588570098082,un_FB,4.403336449836691,4.290695606420437,FB -> FB,FB -> FB,-0.06580070176472266,-0.06769325956702232,-0.07502718046307563,-0.07809357245763143,True,True,True,True,0.0,0.06580070176472266,0.0,0.06769325956702232,0.0,0.07502718046307563,0.0,0.07809357245763143,FB -> FB,FB -> FB,4.796786791569805,2.258551597595215,4,5.355615145451641,2.817379951477051,4,4.790844001390602,2.3228511810302734,4,5.784908426646143,3.3414366245269775,4,4.403336449836691,2.030107021331787,4,4.410515710090597,2.0372862815856934,4,0.11264084341625374,0.48587027192115784,0
159,standard,True,True,9.999999747378752e-05,0.00020962201233487576,0.4559650421142578,0.3506396412849426,0.6728985905647278,1.1806918382644653,2.0,1.3951963186264038,0.002360105052745591,0.05148462342719237,0.0,0.038021026427547136,0.003917954043330004,0.05508747790008783,0.00021592679525686738,0.042528853751719,FB_FB,0.15313210462530455,0.3273760676383972,0,3.4848792602618532,un_FB,3.5060053231815496,3.352873218556245,FB -> FB,FB -> FB,-0.05148462342719237,-0.05508747790008783,-0.038021026427547136,-0.042528853751719,True,True,True,True,0.0,0.05148462342719237,0.0,0.05508747790008783,0.0,0.038021026427547136,0.0,0.042528853751719,FB -> FB,FB -> FB,4.1648262617687575,1.80357027053833,4,4.802998411426961,2.441742420196533,4,3.989358872004474,1.7276710271835327,4,5.4870420040606405,3.2132298946380615,4,3.5060053231815496,1.331761360168457,4,3.512855208168427,1.3386112451553345,4,0.15313210462530455,0.3273760676383972,0
155,standard,True,True,0.00013085656973998994,9.999999747378752e-05,0.865903913974762,0.5264454483985901,1.57437002658844,1.315430998802185,2.0,1.20499849319458,0.0019254764231542746,0.07710020629068216,0.0,0.04534183287372192,0.0030576399682710567,0.07909714144965013,0.0001781300544583549,0.04894861982514461,FB_FB,0.17724432547887164,0.4782199263572693,0,6.019512017567952,un_FB,4.12022868792216,3.9429843624432883,FB -> FB,FB -> FB,-0.07710020629068216,-0.07909714144965013,-0.04534183287372192,-0.04894861982514461,True,True,True,True,0.0,0.07710020629068216,0.0,0.07909714144965013,0.0,0.04534183287372192,0.0,0.04894861982514461,FB -> FB,FB -> FB,4.648278306350888,2.157625198364258,4,5.235875676498593,2.745222568511963,4,4.523397721443326,2.1323883533477783,4,5.821868491999339,3.4212491512298584,4,4.12022868792216,1.8192530870437622,4,4.1265913645426435,1.8256157636642456,4,0.17724432547887164,0.4782199263572693,0
165,standard,True,True,0.00010014228610089049,9.999999747378752e-05,0.8097459077835083,0.46805205941200256,2.0,2.0,0.8088425993919373,2.0,4.012572314119704e-06,0.06426785221944252,0.0,0.033946449185411134,0.0002674166869837791,0.06700857511411111,0.0,0.039314670984943706,FB_FB,0.225083110978206,0.43415820598602295,0,4.181501900156339,un_FB,3.7072190063695114,3.4821358953913055,FB -> FB,FB -> FB,-0.06426785221944252,-0.06700857511411111,-0.033946449185411134,-0.039314670984943706,True,True,True,True,0.0,0.06426785221944252,0.0,0.06700857511411111,0.0,0.033946449185411134,0.0,0.039314670984943706,FB -> FB,FB -> FB,4.354589317711755,1.9460570812225342,4,4.975979660424158,2.5674474239349365,4,4.204185841950341,1.8956536054611206,4,5.60484001810352,3.295764923095703,4,3.7072190063695114,1.4981439113616943,4,3.7135666626195114,1.5044915676116943,4,0.225083110978206,0.43415820598602295,0
156,standard,True,True,9.999999747378752e-05,0.0002483544813003391,0.4787633717060089,0.41126924753189087,0.9568549394607544,2.0,1.1921292543411255,2.0,0.00018175859780361254,0.04042946752160788,0.0,0.03247432069232067,0.00045056306341090626,0.04376503936946392,0.0,0.03736486161748568,FB_FB,0.39950235188007355,0.5075697302818298,0,2.1613475680351257,un_FB,3.1964346021413803,2.7969322502613068,FB -> FB,FB -> FB,-0.04042946752160788,-0.04376503936946392,-0.03247432069232067,-0.03736486161748568,True,True,True,True,0.0,0.04042946752160788,0.0,0.04376503936946392,0.0,0.03247432069232067,0.0,0.03736486161748568,FB -> FB,FB -> FB,3.994588122118512,1.6877853870391846,4,4.656017527330914,2.349214792251587,4,3.7964198682198913,1.589617133140564,4,5.350702485442161,3.1426351070404053,4,3.1964346021413803,1.088367223739624,4,3.203499421477318,1.0954320430755615,4,0.39950235188007355,0.5075697302818298,0
158,standard,True,True,9.999999747378752e-05,0.00018671827274374664,0.49187666177749634,1.1366420984268188,2.0,1.6757200956344604,0.9814265966415405,2.0,0.0012773797311335026,0.03974619017293056,0.005713328168106576,0.09468025888005892,7.311538593057776e-06,0.04254252898196379,0.00541983157939588,0.09858628747363886,FB_FB,0.5199631918221712,0.8710737228393555,0,7.022210620343683,un_FB,4.447715116664767,3.927751924842596,FB -> FB,FB -> FB,-0.03974619017293056,-0.04254252898196379,-0.09468025888005892,-0.09858628747363886,True,True,True,True,0.0,0.03974619017293056,0.0,0.04254252898196379,0.0,0.09468025888005892,0.0,0.09858628747363886,FB -> FB,FB -> FB,4.87458553798236,2.348310708999634,4,5.418549923968688,2.892275094985962,4,4.835192426019845,2.3866512775421143,4,5.802932737294274,3.3740885257720947,4,4.447715116664767,2.096604585647583,4,4.455122543498874,2.1040120124816895,4,0.5199631918221712,0.8710737228393555,0
161,standard,True,True,9.999999747378752e-05,9.999999747378752e-05,1.0151396989822388,0.5479990839958191,1.8307570219039917,1.0108861923217773,0.8750184774398804,2.0,0.003116570704150945,0.10425836133460203,0.0,0.054507143422961236,0.004026591676908235,0.10700647495687007,0.00012293276085983962,0.0586418766528368,FB_FB,0.5449645827213923,0.9937922954559326,0,8.976554254690805,un_FB,4.840776174267133,4.295811591545741,FB -> FB,FB -> FB,-0.10425836133460203,-0.10700647495687007,-0.054507143422961236,-0.0586418766528368,True,True,True,True,0.0,0.10425836133460203,0.0,0.10700647495687007,0.0,0.054507143422961236,0.0,0.0586418766528368,FB -> FB,FB -> FB,5.250238477467792,2.61594295501709,4,5.780461370229022,3.1461658477783203,4,5.16206028026063,2.627518892288208,4,6.276980170271902,3.728398323059082,4,4.840776174267133,2.3919484615325928,4,4.846925466259321,2.3980977535247803,4,0.5449645827213923,0.9937922954559326,0
