search_group,candidate_idx,target,seed,matched_target,predicted_target,predicted_objective,predicted_rmse,predicted_gap,familiar_transition,novel_transition,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,full_familiar_naive,occlusion_familiar_naive,full_familiar_expert,occlusion_familiar_expert,full_novel_naive,occlusion_novel_naive,full_novel_expert,occlusion_novel_expert
standard,17,un_un,11,False,un_FB,-0.1721547601729223,0.023753874003887177,0.0008201524615287781,unresponsive -> unresponsive,unresponsive -> unresponsive,0.00979570485651493,0.004743077326565981,0.006782907526940107,0.01443643867969513,2.0,2.0,1.5487160682678223,1.4412829875946045,0.0,0.00011557559385740508,0.0,0.0017411267501302064,0.0,2.4692754853579876e-06,0.0,0.00018651129212230444
standard,17,un_un,23,False,un_FB,-0.17685966167215764,0.019033309072256088,0.0004822146147489548,unresponsive -> unresponsive,unresponsive -> unresponsive,0.00979570485651493,0.004743077326565981,0.006782907526940107,0.01443643867969513,2.0,2.0,1.5487160682678223,1.4412829875946045,0.0,2.891879266826436e-05,0.0,0.0012794510034533839,0.0,1.256488794751931e-05,6.608934294642191e-08,0.0007325799437239766
standard,17,un_un,37,True,un_un,-0.17845480859735594,0.018322737887501717,0.0057070255279541016,unresponsive -> unresponsive,unresponsive -> unresponsive,0.00979570485651493,0.004743077326565981,0.006782907526940107,0.01443643867969513,2.0,2.0,1.5487160682678223,1.4412829875946045,0.0,0.0,0.0,0.0012928016483783721,0.0,7.353173835629908e-06,1.3067593997625101e-10,0.0003110719353571767
standard,1,un_FB,11,True,un_FB,-0.17181212095803555,0.022871332243084908,0.008957481011748314,unresponsive -> unresponsive,unresponsive -> unresponsive,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5,0.0,0.00015787446512452636,0.0,0.0022568654113759596,0.0,2.692957991712319e-06,0.0,0.00024084056494757533
standard,1,un_FB,23,True,un_FB,-0.1782989569362447,0.016001639887690544,0.01290205493569374,unresponsive -> unresponsive,unresponsive -> unresponsive,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5,6.90458315707095e-09,6.107413695038607e-05,0.0,0.0019906242145225407,0.0,8.371531027175175e-05,1.2732716424087206e-05,0.0007142879262877007
standard,1,un_FB,37,True,un_FB,-0.17473351676671883,0.01968713290989399,0.012416338548064232,unresponsive -> unresponsive,unresponsive -> unresponsive,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5,0.0,8.419227742706426e-06,0.0,0.0022673378698527813,0.0,4.719373779759432e-05,9.816930942226539e-09,0.0004667243263005124
standard,15,un_FB,11,True,un_FB,-0.1729572060821435,0.021930668503046036,0.00791645422577858,unresponsive -> unresponsive,unresponsive -> unresponsive,0.009682604111731052,0.003273017704486847,0.008560115471482277,0.01691216602921486,1.6065943241119385,1.7105469703674316,2.0,0.5716235041618347,0.0,0.00014187132571047794,0.0,0.002115188189782202,0.0,5.18174139566933e-06,0.0,0.00029382145051689196
standard,15,un_FB,23,True,un_FB,-0.18106606809548492,0.01339351013302803,0.013037480413913727,unresponsive -> unresponsive,unresponsive -> unresponsive,0.009682604111731052,0.003273017704486847,0.008560115471482277,0.01691216602921486,1.6065943241119385,1.7105469703674316,2.0,0.5716235041618347,5.122666676034745e-09,5.090801253876028e-05,0.0,0.0017207681123788158,0.0,4.005781568897267e-05,1.299401314251251e-07,0.0009584769451369842
standard,15,un_FB,37,True,un_FB,-0.17687921017859481,0.018024107441306114,0.008813846856355667,unresponsive -> unresponsive,unresponsive -> unresponsive,0.009682604111731052,0.003273017704486847,0.008560115471482277,0.01691216602921486,1.6065943241119385,1.7105469703674316,2.0,0.5716235041618347,0.0,0.0,0.0,0.0018680114376669128,0.0,9.861014053361336e-05,5.815590794118938e-09,0.000581719611849015
standard,16,un_FB,11,True,un_FB,-0.17610912983685317,0.017883772030472755,0.013933895155787468,unresponsive -> unresponsive,unresponsive -> unresponsive,0.008058342151343822,0.0064214118756353855,0.005305658560246229,0.015001710504293442,1.067427158355713,1.3639261722564697,1.3211414813995361,0.7617319226264954,0.0,0.00017552643257658928,0.0,0.0022213681911428767,0.0,6.323538491415092e-06,0.0,0.0006003309041261673
standard,16,un_FB,23,True,un_FB,-0.18269887539354387,0.009800584055483341,0.023366483859717846,unresponsive -> unresponsive,unresponsive -> unresponsive,0.008058342151343822,0.0064214118756353855,0.005305658560246229,0.015001710504293442,1.067427158355713,1.3639261722564697,1.3211414813995361,0.7617319226264954,2.1187130490337343e-06,8.303347446296054e-05,1.0470103954200265e-07,0.0021084481462215385,0.0,0.0003292034520806434,0.00011088419075046355,0.001229585202721258
standard,16,un_FB,37,True,un_FB,-0.17775681962200832,0.014976657927036285,0.021554812788963318,unresponsive -> unresponsive,unresponsive -> unresponsive,0.008058342151343822,0.0064214118756353855,0.005305658560246229,0.015001710504293442,1.067427158355713,1.3639261722564697,1.3211414813995361,0.7617319226264954,0.0,4.0131129111387054e-05,0.0,0.002493505994789302,0.0,0.00018955502309836447,1.2919370936022763e-08,0.0009100690784786517
standard,18,un_FB,11,True,un_FB,-0.1755194061204141,0.018496481701731682,0.012250620871782303,unresponsive -> unresponsive,unresponsive -> unresponsive,0.009228108450770378,0.010932032950222492,0.009587985463440418,0.013514775782823563,0.7252800464630127,2.0,1.2034142017364502,0.4324086308479309,0.0,0.00028350868766816956,0.0,0.0021383205816770594,0.0,5.369584869185928e-06,0.0,0.0005648572347126901
standard,18,un_FB,23,True,un_FB,-0.17689467763508826,0.01516691967844963,0.020584382116794586,unresponsive -> unresponsive,unresponsive -> unresponsive,0.009228108450770378,0.010932032950222492,0.009587985463440418,0.013514775782823563,0.7252800464630127,2.0,1.2034142017364502,0.4324086308479309,2.1783923936406305e-06,0.000173676819637573,2.2967331005929737e-07,0.002381043182685971,0.0,0.00046064616569007434,1.2844399134337436e-05,0.0009538351752174397
standard,18,un_FB,37,True,un_FB,-0.17326941489627265,0.019340667873620987,0.02057955041527748,unresponsive -> unresponsive,unresponsive -> unresponsive,0.009228108450770378,0.010932032950222492,0.009587985463440418,0.013514775782823563,0.7252800464630127,2.0,1.2034142017364502,0.4324086308479309,0.0,4.271308536848058e-06,1.4553203868672427e-07,0.002786359757495423,0.0,0.00019082827056990937,6.64801994935497e-10,0.0007134992784510057
standard,0,FF_FB_broad,11,True,FF_FB_broad,-0.1090503819286823,0.12074089050292969,0.4661174416542053,FF -> FF,FF -> FF,0.5,0.5,0.05,0.05,0.3,0.3,0.3,0.3,0.05593629206220309,0.004303554290284713,0.037425233299533525,0.010530843740950029,0.05762706473469734,0.006159190771480401,0.06390704611937205,0.01014894520243009
standard,0,FF_FB_broad,23,True,FF_FB_broad,-0.11907689422369006,0.10107123106718063,0.5306148007512093,FF -> FF,FF -> FF,0.5,0.5,0.05,0.05,0.3,0.3,0.3,0.3,0.056122741848230365,0.005751869765420755,0.03645273471872012,0.012618752506872019,0.055759237706661226,0.0077001425748070085,0.06173934837182363,0.011719243166347345
standard,0,FF_FB_broad,37,True,FF_FB_broad,-0.13603848889470097,0.09377525001764297,0.5068551525473595,FF -> FF,FF -> FF,0.5,0.5,0.05,0.05,0.3,0.3,0.3,0.3,0.057187677919864656,0.004612141195684672,0.03946549581984679,0.01247525606304407,0.05542738859852155,0.006017105498661597,0.06282630711793899,0.01097159159059326
standard,19,FF_FB_broad,11,True,FF_FB_broad,0.39362209315101304,0.4875771999359131,0.56452476978302,FF -> FF,FF -> FF,0.4269775450229645,0.30671364068984985,0.043760981410741806,0.05253808572888374,0.30484738945961,0.20145101845264435,0.2154974341392517,0.4670303761959076,0.04219582726558049,0.004233563225716353,0.028473320603370666,0.01053268729398648,0.03511505126953125,0.006920817214995623,0.041193354253967605,0.011201454761127631
standard,19,FF_FB_broad,23,True,FF_FB_broad,0.412595388541619,0.5027796030044556,0.5734614133834839,FF -> FF,FF -> FF,0.4269775450229645,0.30671364068984985,0.043760981410741806,0.05253808572888374,0.30484738945961,0.20145101845264435,0.2154974341392517,0.4670303761959076,0.04304653344055017,0.005789222164700429,0.027857035646835962,0.012432706045607726,0.03391500500341257,0.00868156732370456,0.04027353314061959,0.012893946220477423
