candidate_idx,search_group,receives_context_familiar,receives_context_novel,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,full_familiar_naive,occlusion_familiar_naive,full_novel_naive,occlusion_novel_naive,full_familiar_expert,occlusion_familiar_expert,full_novel_expert,occlusion_novel_expert,assigned_target,assigned_objective,assigned_rmse,assigned_mismatch_penalty,assigned_transition_bonus,second_target,second_objective,objective_gap,familiar,novel,familiar_naive_state,familiar_expert_state,novel_naive_state,novel_expert_state,familiar_naive_responsive,familiar_expert_responsive,novel_naive_responsive,novel_expert_responsive,familiar_naive_ff_scalar,familiar_naive_fb_scalar,familiar_expert_ff_scalar,familiar_expert_fb_scalar,novel_naive_ff_scalar,novel_naive_fb_scalar,novel_expert_ff_scalar,novel_expert_fb_scalar,familiar_transition,novel_transition,objective__FF_FB_broad,rmse__FF_FB_broad,mismatch__FF_FB_broad,objective__FF_un,rmse__FF_un,mismatch__FF_un,objective__FF_FB_narrow_familiar,rmse__FF_FB_narrow_familiar,mismatch__FF_FB_narrow_familiar,objective__FF_FB_narrow_novel,rmse__FF_FB_narrow_novel,mismatch__FF_FB_narrow_novel,objective__un_FB,rmse__un_FB,mismatch__un_FB,objective__FB_FB,rmse__FB_FB,mismatch__FB_FB
5,standard,True,True,1e-07,1e-07,0.6,0.6,1.5,1.5,1.5,1.5,0.0008054707917229583,0.036917969359395404,5.429536323949454e-07,0.041602354194037613,2.8935934036174634e-05,0.04445015244806806,5.860194949036668e-06,0.046812251380955176,FB_FB,-0.1347810774731139,0.004784377291798592,0,2.7913090952982498,un_FB,3.2874921429591875,3.4222732204323014,FB -> FB,FB -> FB,-0.036917969359395404,-0.04445015244806806,-0.041602354194037613,-0.046812251380955176,True,True,True,True,0.0,0.036917969359395404,0.0,0.04445015244806806,0.0,0.041602354194037613,0.0,0.046812251380955176,FB -> FB,FB -> FB,3.703763974416652,1.4158222675323486,4,4.282312286603847,1.9943705797195435,4,3.521424976934213,1.3334704637527466,4,4.892985256118506,2.653432607650757,4,3.2874921429591875,1.147926688194275,4,-0.1347810774731139,0.004784377291798592,0
2088,standard,True,True,0.000166049474501051,9.999999747378752e-05,0.5499246716499329,0.6008322238922119,1.3448766469955444,0.8104683756828308,1.9361835718154907,1.7445467710494995,0.0012385852159544205,0.03727279151013742,0.0028478828058723592,0.04438084178448965,5.084061826892139e-05,0.04482578121436139,0.0024422028068026218,0.050005095281327766,FB_FB,-0.0719645564444363,0.08100446313619614,0,3.0593803916126485,un_FB,3.3521213700063526,3.424085926450789,FB -> FB,FB -> FB,-0.03727279151013742,-0.04482578121436139,-0.04438084178448965,-0.050005095281327766,True,True,True,True,0.0,0.03727279151013742,0.0,0.04482578121436139,0.0,0.04438084178448965,0.0,0.050005095281327766,FB -> FB,FB -> FB,3.701840212431125,1.4119285345077515,4,4.276568343725375,1.986656665802002,4,3.573345485890362,1.3728536367416382,4,4.855577830365171,2.6131889820098877,4,3.3521213700063526,1.1991523504257202,4,-0.0719645564444363,0.08100446313619614,0
2176,standard,True,True,9.999999747378752e-05,9.999999747378752e-05,0.5391127467155457,0.512303352355957,2.0,1.6082322597503662,0.8528583645820618,1.30158531665802,0.0003861920180800856,0.035124547267332676,3.867100991428174e-07,0.03869956764392555,2.405050061421813e-05,0.04419107726619889,3.4709517886237033e-06,0.044449297113654515,FB_FB,-0.06609153871734937,0.058837439864873886,0,2.498579571644465,un_FB,3.2206564222772918,3.2867479609946413,FB -> FB,FB -> FB,-0.035124547267332676,-0.04419107726619889,-0.03869956764392555,-0.044449297113654515,True,True,True,True,0.0,0.035124547267332676,0.0,0.04419107726619889,0.0,0.03869956764392555,0.0,0.044449297113654515,FB -> FB,FB -> FB,3.659214792422666,1.3850659132003784,4,4.242203054599179,1.968054175376892,4,3.467043090136273,1.29288649559021,4,4.866748846571436,2.6418275833129883,4,3.2206564222772918,1.0957274436950684,4,-0.06609153871734937,0.058837439864873886,0
2099,standard,True,True,0.0001077610650099814,9.999999747378752e-05,0.6384757161140442,0.6990880966186523,1.824264645576477,1.167938470840454,1.880605936050415,1.2036614418029785,0.0011622837705848117,0.03815618502752235,0.0020495423620369973,0.04594753284472972,3.0224928188242e-05,0.04517063562137385,0.0009601349054719321,0.05111687394479911,FB_FB,-0.0658743887829284,0.09490806609392166,0,3.215649097537001,un_FB,3.387386439709614,3.4532608284925423,FB -> FB,FB -> FB,-0.03815618502752235,-0.04517063562137385,-0.04594753284472972,-0.05111687394479911,True,True,True,True,0.0,0.03815618502752235,0.0,0.04517063562137385,0.0,0.04594753284472972,0.0,0.05111687394479911,FB -> FB,FB -> FB,3.748619234056461,1.4461807012557983,4,4.320931946725834,2.018493413925171,4,3.605776965781115,1.3973190784454346,4,4.897532198623693,2.6427690982818604,4,3.387386439709614,1.2266039848327637,4,-0.0658743887829284,0.09490806609392166,0
2164,standard,True,True,0.00016248509928118438,0.0001190561379189603,0.5739506483078003,0.5769553780555725,1.0296992063522339,1.4456267356872559,1.6806375980377197,2.0,0.0014637857995694504,0.03500134296094378,2.3996136322542348e-05,0.0396346503480648,3.2764738208849545e-05,0.042217674377995236,7.01441456953944e-06,0.0446069077666228,FB_FB,-0.062254016085838276,0.06066713482141495,0,2.4584230181450644,un_FB,3.212141078695034,3.274395094780872,FB -> FB,FB -> FB,-0.03500134296094378,-0.042217674377995236,-0.0396346503480648,-0.0446069077666228,True,True,True,True,0.0,0.03500134296094378,0.0,0.042217674377995236,0.0,0.0396346503480648,0.0,0.0446069077666228,FB -> FB,FB -> FB,3.6462655101564034,1.3763339519500732,4,4.225979927613984,1.9560483694076538,4,3.44918006650599,1.279186487197876,4,4.860878929991626,2.6380198001861572,4,3.212141078695034,1.0892199277877808,4,-0.062254016085838276,0.06066713482141495,0
2071,standard,True,True,9.999999747378752e-05,9.999999747378752e-05,0.5488324761390686,0.5430644750595093,2.0,0.8268677592277527,1.3591893911361694,0.7040265798568726,0.000994767698769768,0.04060881808400154,0.0018821134719322194,0.04414398644585162,2.5436293511423477e-05,0.04966033662203699,0.0009087657066023288,0.05066068625698487,FB_FB,-0.05470003675048546,0.11544761806726456,0,3.402953096355,un_FB,3.4262825224859017,3.480982559236387,FB -> FB,FB -> FB,-0.04060881808400154,-0.04966033662203699,-0.04414398644585162,-0.05066068625698487,True,True,True,True,0.0,0.04060881808400154,0.0,0.04966033662203699,0.0,0.04414398644585162,0.0,0.05066068625698487,FB -> FB,FB -> FB,3.7779272273808906,1.465350866317749,4,4.353098936441559,2.040522575378418,4,3.642236822346846,1.4240787029266357,4,4.923870276877551,2.65930438041687,4,3.4262825224859017,1.2561348676681519,4,-0.05470003675048546,0.11544761806726456,0
2148,standard,True,True,9.999999747378752e-05,9.999999747378752e-05,0.5117248296737671,0.6527503132820129,1.211001992225647,0.9745646119117737,2.0,2.0,0.0011669815129910907,0.03262883172137663,0.002563422243747482,0.04587619771094372,3.243553997738976e-05,0.039841984786714114,0.0020389577458748438,0.05117496605962515,FB_FB,-0.006284538493491698,0.13275942206382751,0,2.780879211146384,un_FB,3.2998009061673654,3.306085444660857,FB -> FB,FB -> FB,-0.03262883172137663,-0.039841984786714114,-0.04587619771094372,-0.05117496605962515,True,True,True,True,0.0,0.03262883172137663,0.0,0.039841984786714114,0.0,0.04587619771094372,0.0,0.05117496605962515,FB -> FB,FB -> FB,3.6722486800874927,1.3947434425354004,4,4.245340783091948,1.967835545539856,4,3.5272661422456926,1.3405561447143555,4,4.831262940965037,2.601423740386963,4,3.2998009061673654,1.1607569456100464,4,-0.006284538493491698,0.13275942206382751,0
2086,standard,True,True,0.00017408143321517855,9.999999747378752e-05,0.4640696048736572,0.6172303557395935,0.6106292009353638,1.532985806465149,0.9933960437774658,1.8152587413787842,0.0024992486035140854,0.0332203936840718,3.455703183590231e-05,0.05104467157895366,0.0012326771409182887,0.04193618231608222,8.102402375698148e-05,0.0567407160376509,FB_FB,0.0406538708135486,0.20653779804706573,0,3.3176785446703425,un_FB,3.4302240895107388,3.38957021869719,FB -> FB,FB -> FB,-0.0332203936840718,-0.04193618231608222,-0.05104467157895366,-0.0567407160376509,True,True,True,True,0.0,0.0332203936840718,0.0,0.04193618231608222,0.0,0.05104467157895366,0.0,0.0567407160376509,FB -> FB,FB -> FB,3.7935129257522173,1.482858657836914,4,4.361349687226827,2.0506954193115234,4,3.629594469714599,1.4187090396881104,4,4.934529651490129,2.668876886367798,4,3.4302240895107388,1.2643401622772217,4,0.0406538708135486,0.20653779804706573,0
2107,standard,True,True,0.00010385610949015245,9.999999747378752e-05,0.8777101635932922,0.6795133352279663,2.0,1.7817959785461426,0.8773486614227295,2.0,0.0010575259647642573,0.049369442470682166,5.750769834852084e-07,0.04250983524446686,3.21215814513683e-05,0.056263871723785996,3.5101295755642543e-06,0.047327854887892803,FB_FB,0.05236661001108589,0.24330861866474152,0,3.8188401730731125,un_FB,3.5218234850559385,3.4694568750448527,FB -> FB,FB -> FB,-0.049369442470682166,-0.056263871723785996,-0.04250983524446686,-0.047327854887892803,True,True,True,True,0.0,0.049369442470682166,0.0,0.056263871723785996,0.0,0.04250983524446686,0.0,0.047327854887892803,FB -> FB,FB -> FB,3.874045846629002,1.5352270603179932,4,4.443872449564793,2.105053663253784,4,3.729098167394598,1.4902712106704712,4,5.0167972949666115,2.725863456726074,4,3.5218234850559385,1.3308814764022827,4,0.05236661001108589,0.24330861866474152,0
2144,standard,True,True,0.0002423007827019319,9.999999747378752e-05,0.8934182524681091,0.8490481972694397,1.6249738931655884,2.0,1.037269949913025,2.0,0.0020560783848244074,0.048045841868345936,7.602351651314621e-07,0.05094169683288783,4.1194170959594584e-05,0.054695491873038314,7.247344495908692e-06,0.055443114663163824,FB_FB,0.0620933282499512,0.280345618724823,0,4.365045809497436,un_FB,3.6429781806344788,3.5808848523845276,FB -> FB,FB -> FB,-0.048045841868345936,-0.054695491873038314,-0.05094169683288783,-0.055443114663163824,True,True,True,True,0.0,0.048045841868345936,0.0,0.054695491873038314,0.0,0.05094169683288783,0.0,0.055443114663163824,FB -> FB,FB -> FB,3.9605095975192897,1.5963854789733887,4,4.523215352753054,2.1590912342071533,4,3.830621843185509,1.5664817094802856,4,5.061340017915037,2.7431037425994873,4,3.6429781806344788,1.424725890159607,4,0.0620933282499512,0.280345618724823,0
