class_a,class_b,candidate_idx_a,candidate_idx_b,distance,dominant_param_1,dominant_logdiff_1,dominant_param_2,dominant_logdiff_2,dominant_param_3,dominant_logdiff_3,w_ff_0_a,w_ff_1_a,w_fb_0_a,w_fb_1_a,w_lat_0_a,w_lat_1_a,w_pv_lat_0_a,w_pv_lat_1_a,lr_ff_a,lr_fb_a,lr_lat_a,lr_pv_a,w_ff_0_b,w_ff_1_b,w_fb_0_b,w_fb_1_b,w_lat_0_b,w_lat_1_b,w_pv_lat_0_b,w_pv_lat_1_b,lr_ff_b,lr_fb_b,lr_lat_b,lr_pv_b
FF_FB_narrow_familiar,un_FB,1546,1065,0.30567748580460374,w_pv_lat_1,2.5674037290647305,w_pv_lat_0,2.373710124009954,w_fb_1,1.3124514297040757,0.06276558303287247,0.04643604711564963,0.002333136469216597,0.002863461730085512,0.0004175915277103663,0.32974464925901215,0.08755065242704106,0.07995509325805904,0.00016694653799768388,0.003709559766233523,6.35383375103066e-05,0.0005021968538843209,0.026697561781206823,0.004258084624194323,0.011340956661180932,0.00013945688281137255,0.005597567337601815,0.3038237483859597,0.0003702962063637061,0.0002164922754373725,0.00047564348356271254,0.004440536398452481,0.00017010220354905914,0.00044273955154196996
FF_FB_narrow_familiar,un_FB,609,1139,0.3435587236047311,w_fb_0,2.8078066912794717,w_ff_0,2.5664343306079274,w_pv_lat_0,2.2923544857116225,0.08658146383552073,0.0013530720077337428,0.00011334559023558103,0.00015631240737093763,0.05012377657849353,0.016327608676195454,0.0003130896238601234,0.02055458168509619,0.00027958998834787577,0.001798497679632968,0.00018873510176313434,0.0017519381920490385,0.00023495819304093245,0.01359537164720232,0.0728134014854035,0.0001591647435486322,0.020403341831130985,0.0041642018796863595,0.061379473745378804,0.08882838710240892,0.0022438237998266782,0.0019290157402499094,0.0003625447256674574,0.0014754355988038355
FF_FB_narrow_novel,un_FB,393,127,0.3443271481521022,w_fb_1,2.5079142090829847,w_ff_1,1.7001219151163731,w_pv_lat_0,1.5546674155433373,0.03662487774736894,0.005636343761332953,0.0023151451210300486,0.11778345930897025,0.03847694294517644,0.00025992387447189714,0.0046172441272302285,0.004527152358713408,0.00023443479010535205,0.002817711584665809,0.000577000848046976,0.00033022977684361165,0.0013383209576879977,0.00011242827772347604,0.00011365135699925823,0.00036573800899564435,0.0013986756369335374,0.004142867536460576,0.00012874056833913602,0.012847753010568516,0.0007609363126034039,0.00314688611746105,0.001107418276675464,0.00014043707316381253
FF_FB_narrow_novel,un_FB,916,816,0.3603781078954016,w_fb_1,1.2957326310106732,w_lat_0,1.2436012910643877,w_fb_0,1.1471958947398764,0.006486638290477207,0.29030616335896026,0.012996628704752903,0.010821118845547944,0.04552169543447487,0.0016310864145216487,0.007130332687841874,0.0010383157513882508,0.02172338950522187,0.0004918375724893716,0.0006877949967359744,0.0001115159379754207,0.0006342125389966904,0.1481513327910845,0.0009260508126715463,0.0005476959579409199,0.0025978683428464744,0.00026876971035663433,0.0005660667380363439,0.007303012475278415,0.020532838512621072,0.00012078012992069976,0.0003011955569023103,0.0003482460268329255
FB_FB,FF_FB_broad,539,1396,0.3747620489512401,w_fb_1,2.755657522201375,w_pv_lat_1,2.2094736254718677,w_ff_0,1.041714280646787,0.0004824843609406774,0.0036991556850065476,0.35307958434332914,0.00017910465503048642,0.0012736606736693402,0.0005614982044914444,0.038146717284554425,0.0007811256529287299,0.0016765438322901179,0.00395103365702466,0.000498125431119829,0.0005206427684929518,0.0053112595073735785,0.03215146891666102,0.3818274517665306,0.10203857754452002,0.008407694331102625,0.00011151741810743382,0.013290397280798187,0.12653029662755386,0.0025689830965570505,0.0037943500612534864,0.0007211202375142801,0.0009980645504669148
FF_FB_broad,FF_FB_narrow_novel,276,1416,0.39178735302716927,w_pv_lat_0,1.9325613720337,lr_ff,1.5877631603745952,w_ff_0,1.5000844758403988,0.005608837762886653,0.3507757477687596,0.17266891531507986,0.02503181386761365,0.011118093166848971,0.014020120333963883,0.00032156950627301115,0.09495868911094274,0.0045326336914948894,0.0004082860553639386,0.00020394898830152085,0.0006229988915400385,0.00017733252676769472,0.4008925496852861,0.12422972765522079,0.006117598111503228,0.026801887488109914,0.011166063173826547,0.02753190300573497,0.012724434504456024,0.00011710824219786873,0.0012826273551396646,7.72916845562983e-05,0.0009707134134435528
FB_FB,FF_FB_narrow_novel,991,920,0.39612473780952356,w_ff_1,1.61400225348644,w_pv_lat_1,1.267555440654215,w_fb_0,1.163083185345707,0.001849966434352429,0.0004025919560913352,0.050205860980917734,0.0004815560704470865,0.00013641406556567348,0.22099695298689792,0.05167893587326145,0.002793172776913811,0.0035528046161198553,0.008060551452519328,0.00025728377563591603,0.0004167829679503125,0.00023558467711635458,0.0165526429354515,0.0034488256024367107,0.003022108985008914,0.0012378280897718218,0.03308715828911503,0.09290768683194361,0.051719371814368705,0.0033853317785532255,0.00728277212010532,0.000272081238625876,0.00014275467667198313
FB_FB,un_FB,535,495,0.40736307853258497,w_pv_lat_0,2.9817345827324147,w_pv_lat_1,0.6927983874173291,w_ff_1,0.6601131465466348,0.005102003151421326,0.0008238416313594611,0.009475133722975117,0.2839884273478049,0.0002454701201351287,0.00011941671673135922,0.17026799142827045,0.024226285159358523,0.004755103311525001,0.00031268483919215324,0.004401180859338428,0.0001451849914044327,0.0032187392698954332,0.00376666399753566,0.030932173101072866,0.24971603066317208,0.00033733584932054306,0.00023319742396429565,0.00017758179034999956,0.11942223980546533,0.002278052602761922,0.0007830917968316594,0.005425540296536657,0.00024505398165138774
FB_FB,un_FB,967,495,0.4277231686910252,w_fb_0,1.9510165703429934,w_lat_0,1.652333212519165,w_ff_1,1.477640078385872,0.01193271654144953,0.0001254055631072263,0.0003462532524580887,0.2594466865925552,0.015149409653569264,0.0007141059068010296,0.00044217486973345343,0.008594938671031506,0.00043545092794642444,0.0017832813387551852,0.0026836169012176988,0.00013143782713627932,0.0032187392698954332,0.00376666399753566,0.030932173101072866,0.24971603066317208,0.00033733584932054306,0.00023319742396429565,0.00017758179034999956,0.11942223980546533,0.002278052602761922,0.0007830917968316594,0.005425540296536657,0.00024505398165138774
FB_FB,FF_FB_narrow_novel,474,268,0.4434523783630389,w_lat_0,2.361154185252735,w_lat_1,2.1654674346749596,w_ff_0,2.0095820037392103,0.12428657299197184,0.01536439868438221,0.02263809492494151,0.7751388927499762,0.00018484838193704917,0.03521194015590448,0.0779976964846568,0.00014102295602120454,0.001435860556271117,8.131170742550366e-05,6.0748541854296094e-05,0.0011995356604162875,0.001215744208715101,0.02573127582515956,0.0005308985495656197,0.8033357265728615,0.042459007548458126,0.00024055950442658248,0.0037304349935115403,0.00020176212888294644,0.002553811680733897,0.00020578118902018716,0.0022093501535886493,0.00043942870357559943
FB_FB,FF_FB_narrow_familiar,539,1799,0.4476807898709099,w_pv_lat_1,1.541316179741361,w_fb_1,1.4706255427489818,w_ff_0,1.4041605421820553,0.0004824843609406774,0.0036991556850065476,0.35307958434332914,0.00017910465503048642,0.0012736606736693402,0.0005614982044914444,0.038146717284554425,0.0007811256529287299,0.0016765438322901179,0.00395103365702466,0.000498125431119829,0.0005206427684929518,0.012236121565552698,0.003324704994284084,0.4145845870928729,0.005293372006264256,0.00023836379932018988,0.0008213565807717374,0.0036941466511701705,0.027166712106582953,0.0003148424480434456,0.005530305673342227,9.067207470976903e-05,0.0007110139939999723
FF_FB_narrow_familiar,FF_FB_narrow_novel,1153,1202,0.49639281564882265,w_fb_0,2.0778190541743577,w_fb_1,2.002622065061786,w_lat_1,1.946868170790058,0.057112804544542796,0.0005633849918007562,0.0008848130896718308,0.00012615354503712646,0.000557018490741725,0.010972860540971845,0.0016619530507672165,0.00011090690177030215,0.0002019219618435064,0.013042964984357898,0.0009056441642569772,0.00023947282921519736,0.018980215550414195,0.04875635209486842,0.1058450598956623,0.012691750448061602,0.0002489268295181072,0.00012400856695127293,0.0005695717062490044,0.002524694669554482,0.0005635094414678998,0.012332349437163093,0.0018839620138306596,0.0015875396820480261
FF_FB_broad,un_FB,302,1149,0.5085624536661103,w_ff_1,2.716035703582647,lr_fb,1.2378701869367563,w_lat_1,0.9407769922010889,0.2309533012724387,0.1484906003457982,0.02112800130418346,0.13876279423069315,0.014997561323643492,0.007626684104520294,0.01913617252732072,0.0018322204407464813,0.0005696091194362091,5.336417893655201e-05,0.0007160333432281261,0.0002529025905000708,0.17877294571438004,0.0002855375701839419,0.009370368134914356,0.05312127154166093,0.04732748339963085,0.0008740952620363253,0.0024730404293823497,0.000267885684736398,0.00014014789965297755,0.000922826417969838,0.00013173844443242343,0.0008672992164739427
FB_FB,FF_FB_narrow_familiar,352,298,0.5111051612098765,w_ff_0,1.9459411280375387,w_pv_lat_1,1.7932892791348007,w_lat_0,1.5474891691409787,0.0009384602760554154,0.06882228149802602,0.3089850747774277,0.00040942969646709987,0.025221158416781683,0.019665436355566338,0.006792689457650897,0.1424761369447207,0.0075018161737238276,0.0018637882482315353,0.00024318375544419782,0.0011953949499201868,0.08286230732715086,0.02198365999975466,0.22396904589212008,0.00033435205902082946,0.0007149503133748095,0.0006773714240757621,0.044451775945357395,0.0022932576564388607,0.0009117299438285558,0.0015931138059740266,0.00015572198284533503,0.000984911047686353
FF_FB_broad,FF_FB_narrow_familiar,662,1606,0.539098642259709,w_lat_1,2.5527039363470276,w_pv_lat_0,2.3945891549355474,w_lat_0,2.070319907433285,1.104126784153353,0.13376973497052413,0.0696321227869388,0.002359599582199012,0.0014124467902867394,0.00038147270291771015,0.06451528548316295,0.0014729581795396732,0.00042385258703716736,0.00013525104640671012,0.0017591114820951323,0.00027878237291333497,1.0362320536457739,0.03719070414385219,0.0007826445871194055,0.010841959400925054,0.16607031272695696,0.13619695652812486,0.00026005994625071264,0.00035030522561163807,0.0024186558395160604,0.0004669735825893842,7.95614681996646e-05,0.00029559044455836075
FF_FB_broad,FF_FB_narrow_familiar,302,1166,0.5424852869494394,w_fb_1,3.0526516909569463,w_pv_lat_0,1.0294180359523737,w_lat_1,0.9392399776368725,0.2309533012724387,0.1484906003457982,0.02112800130418346,0.13876279423069315,0.014997561323643492,0.007626684104520294,0.01913617252732072,0.0018322204407464813,0.0005696091194362091,5.336417893655201e-05,0.0007160333432281261,0.0002529025905000708,0.1733102970233041,0.10585968115260627,0.0508437984889673,0.00012291965865979408,0.007709398694731443,0.06630949738156584,0.20477319844249411,0.0009550818541742708,0.0010410066256383778,7.482152629780195e-05,8.901572524313572e-05,0.0005522053355791679
