candidate_idx,candidate_uid,search_group,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,lr_ff,lr_fb,lr_lat,lr_pv,full_familiar_naive,occlusion_familiar_naive,full_novel_naive,occlusion_novel_naive,full_familiar_expert,occlusion_familiar_expert,full_novel_expert,occlusion_novel_expert,full_familiar_expert2,occlusion_familiar_expert2,full_novel_expert2,occlusion_novel_expert2,assigned_target,assigned_objective,assigned_prototype_rmse,assigned_phase_category_mismatches,second_target,second_objective,objective_margin,familiar_naive_state,familiar_expert_state,familiar_expert2_state,novel_naive_state,novel_expert_state,novel_expert2_state,familiar_state_delta,familiar_continuation_delta,novel_state_delta,novel_continuation_delta,delta_full_familiar_expert,delta_occlusion_familiar_expert,delta_full_novel_expert,delta_occlusion_novel_expert,delta_full_familiar_expert2,delta_occlusion_familiar_expert2,delta_full_novel_expert2,delta_occlusion_novel_expert2,familiar_primary_transition,novel_primary_transition,familiar_naive_category,familiar_expert_category,familiar_expert2_category,novel_naive_category,novel_expert_category,novel_expert2_category,objective__FF_FB_broad,rmse__FF_FB_broad,objective__FF_FB_narrow_familiar,rmse__FF_FB_narrow_familiar,objective__FF_FB_narrow_novel,rmse__FF_FB_narrow_novel,objective__un_FB,rmse__un_FB,objective__FB_FB,rmse__FB_FB,objective__FF_un,rmse__FF_un,pca1,pca2,pca3,tsne1,tsne2
0,standard::0,standard,0.5,0.5,0.05,0.05,0.3,0.3,0.3,0.3,0.03,0.003,0.01,0.0025,0.06067702397704124,0.003482850349973887,0.06005850378423929,0.0037596807756926864,0.0456335773691535,0.007647038786672056,0.05869603268802166,0.007853244873695075,0.0651253255084157,0.023822100227698685,0.07031816150993109,0.016308408183977007,FF_FB_broad,0.0,0.0,0,FF_FB_narrow_familiar,2.1950455180979347,2.1950455180979347,0.06067702397704124,0.0456335773691535,0.0651253255084157,0.06005850378423929,0.05869603268802166,0.07031816150993109,-0.015043446607887742,0.019491748139262195,-0.0013624710962176281,0.011622128821909425,-0.015043446607887742,0.004164188436698168,-0.0013624710962176281,0.004093564098002388,0.019491748139262195,0.01617506144102663,0.011622128821909425,0.008455163310281932,FF -> FF,FF -> FF,FF,FF,FF,FF,FF,FF,0.0,0.0,2.1950455180979347,0.9450455180979349,2.6836563563822837,1.4336563563822835,3.9600555596359466,1.4600555596359472,4.584356575620377,2.084356575620377,,,-0.3570024471902414,-1.036874477126712,0.09795116363694994,4.844836,-1.4622612
1,standard::1,standard,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5,0.03,0.003,0.01,0.0025,0.0,0.0001861171615018975,1.2245491029716505e-05,0.00016234930053542483,0.0,0.00017301623556704727,5.039312725330092e-06,0.0006487371734692715,0.0,0.00822774096741341,0.0,0.003594144422095269,un_FB,0.0,0.0,0,FF_FB_narrow_familiar,2.3200243292109857,2.3200243292109857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3100925934850217e-05,-7.206178304386413e-06,0.0004863878729338467,0.0,0.008054724731846364,-5.039312725330092e-06,0.0029454072486259975,unresponsive -> unresponsive,unresponsive -> unresponsive,unresponsive,unresponsive,unresponsive,unresponsive,unresponsive,unresponsive,3.9600555596359466,1.4600555596359472,2.3200243292109857,1.0700243292109857,2.612328797552501,1.362328797552501,0.0,0.0,4.036744973026287,1.5367449730262868,,,3.622449395778706,-0.4418422687841531,-0.4404224576686254,20.302687,-28.166988
2,standard::2,standard,0.5,0.5,0.05,0.05,0.3,0.3,0.3,0.3,0.03,0.003,0.01,0.0025,0.06067702397704124,0.003482850349973887,0.06005850378423929,0.0037596807756926864,0.0456335773691535,0.007647038786672056,0.05869603268802166,0.007853244873695075,0.0651253255084157,0.023822100227698685,0.07031816150993109,0.016308408183977007,FF_FB_broad,0.0,0.0,0,FF_FB_narrow_familiar,2.1950455180979347,2.1950455180979347,0.06067702397704124,0.0456335773691535,0.0651253255084157,0.06005850378423929,0.05869603268802166,0.07031816150993109,-0.015043446607887742,0.019491748139262195,-0.0013624710962176281,0.011622128821909425,-0.015043446607887742,0.004164188436698168,-0.0013624710962176281,0.004093564098002388,0.019491748139262195,0.01617506144102663,0.011622128821909425,0.008455163310281932,FF -> FF,FF -> FF,FF,FF,FF,FF,FF,FF,0.0,0.0,2.1950455180979347,0.9450455180979349,2.6836563563822837,1.4336563563822835,3.9600555596359466,1.4600555596359472,4.584356575620377,2.084356575620377,,,-0.35700244719024105,-1.0368744771267135,0.09795116363694946,5.856679,-1.1196567
3,standard::3,standard,0.9,0.01,0.01,0.01,0.3,1.5,0.3,1.5,0.03,0.003,0.01,0.0025,0.07694756966084242,4.785032388099353e-06,0.0009629096428398042,9.169670674964436e-05,0.063626947440207,9.099966473513631e-06,0.0006476211099652573,0.0012744449777528644,0.07495472766458988,0.010499040212016553,0.001030690033803694,0.005676872376352548,FF_FB_narrow_familiar,0.0,0.0,0,FF_FB_broad,2.1950455180979347,2.1950455180979347,0.07694756966084242,0.063626947440207,0.07495472766458988,0.0,0.0,0.0,-0.013320622220635417,0.011327780224382883,0.0,0.0,-0.013320622220635417,4.3149340854142786e-06,-0.00031528853287454695,0.00118274827100322,0.011327780224382883,0.010489940245543039,0.0003830689238384366,0.004402427398599684,FF -> FF,unresponsive -> unresponsive,FF,FF,FF,unresponsive,unresponsive,unresponsive,2.1950455180979347,0.9450455180979349,0.0,0.0,4.136494569721127,1.6364945697211268,2.3200243292109857,1.0700243292109857,4.4670523589189255,1.9670523589189255,,,1.5498789370446355,-1.2125723698384492,0.264314316669812,21.828596,-14.549302
4,standard::4,standard,0.01,0.9,0.01,0.15,0.3,0.3,0.3,0.3,0.03,0.003,0.01,0.0025,0.006195576628670096,0.0010327738797059282,0.16327017806470395,0.019869512272998692,0.0037796498159877955,0.00311312991543673,0.1636221833527088,0.024244240717962384,0.005600870156195014,0.019960345001891255,0.17521789409220218,0.032903694082051516,FF_FB_narrow_novel,0.0,0.0,0,un_FB,2.612328797552501,2.612328797552501,0.0,0.0,0.0,0.16327017806470395,0.1636221833527088,0.14231420001015066,0.0,0.0,0.00035200528800485853,-0.02130798334255815,-0.002415926812682301,0.0020803560357308018,0.00035200528800485853,0.004374728444963692,0.0018212203402072189,0.016847215086454526,0.011595710739493365,0.008659453364089131,unresponsive -> unresponsive,FF -> FF,unresponsive,unresponsive,unresponsive,FF,FF,FF,2.6836563563822837,1.4336563563822835,4.136494569721127,1.6364945697211268,0.0,0.0,2.612328797552501,1.362328797552501,4.414504494549664,1.9145044945496645,,,-0.4312750074671688,-0.960751780170561,0.07884179393026718,-2.6794693,-9.661928
5,standard::5,standard,1e-07,1e-07,0.6,0.6,1.5,1.5,1.5,1.5,0.03,0.003,0.01,0.0025,0.0004324861132772639,0.06086004208773375,0.0,0.06217672321945429,0.0,0.060294025018811225,0.0,0.07180170603096485,0.0,0.07340687438845635,0.0001723894723909325,0.0664465457201004,FB_FB,0.009161599324399939,0.009161599324399939,0,un_FB,4.036783646881672,4.027622047557272,-0.06086004208773375,-0.060294025018811225,-0.07340687438845635,-0.06217672321945429,-0.07180170603096485,-0.0664465457201004,0.0005660170689225225,-0.013112849369645123,-0.009624982811510557,0.005355160310864443,-0.0004324861132772639,-0.0005660170689225225,0.0,0.009624982811510557,0.0,0.013112849369645123,0.0001723894723909325,-0.005355160310864443,FB -> FB,FB -> FB,FB,FB,FB,FB,FB,FB,4.581492350404434,2.0814923504044343,4.465286363537094,1.9652863635370934,4.413072572629888,1.9130725726298883,4.036783646881672,1.5367836468816716,0.009161599324399939,0.009161599324399939,,,3.8375915661852993,1.0124588143999824,-1.0815428686770854,19.569742,-32.906433
6,standard::6,standard,0.8912388757536314,0.4718675642177928,0.013655577680259302,0.0003927055947047989,0.3108400756631576,0.020720478088426274,0.0002159964281150519,0.0021146396119129714,0.0004058740488397337,0.00018017025247148345,0.00928611334580354,0.0003358474630337164,0.1405819471925497,0.0,0.09265816435217858,0.0,0.12264039441943168,0.0,0.08759561311453581,0.0,0.1359922733157873,1.8698694111662918e-05,0.09174519423395396,0.0,FF_FB_broad,1.8827987455993795,1.8827987455993795,0,FF_FB_narrow_familiar,3.1340374172655974,1.2512386716662178,0.1405819471925497,0.12264039441943168,0.1359922733157873,0.09265816435217858,0.08759561311453581,0.09174519423395396,-0.017941552773118027,0.013351878896355626,-0.005062551237642765,0.0041495811194181415,-0.017941552773118027,0.0,-0.005062551237642765,0.0,0.013351878896355626,1.8698694111662918e-05,0.0041495811194181415,0.0,FF -> FF,FF -> FF,FF,FF,FF,FF,FF,FF,1.8827987455993795,1.8827987455993795,3.1340374172655974,1.8840374172655974,3.9937610520298037,2.7437610520298037,5.012134231876255,2.512134231876255,5.630402971558191,3.1304029715581914,,,-1.5031150949388556,-0.9817100778696172,-0.16247638428420264,13.491282,2.1280968
7,standard::7,standard,0.012658380687797064,0.00018165729747282423,1.1987363484519475,0.03296720112467636,0.0006766882283602166,0.0035175901760065467,0.5785240956707288,0.15099353330007312,0.004237114792641117,0.012667949369293432,0.0005254174675426265,0.016632444692217713,0.2644651226699352,0.24113315343856812,0.0,0.007219065865501762,0.25450624153018,0.25268443003296853,0.0015419061099237296,0.013523964257910848,0.28964876383543015,0.2962879367172718,0.021681636106222868,0.04356731055304408,FF_FB_narrow_familiar,5.59245806181894,4.89245806181894,2,FF_FB_broad,6.29857593381803,0.7061178719990897,0.0233319692313671,0.0018218114972114452,-0.006639172881841682,0.0,0.0,-0.04356731055304408,-0.021510157734155655,-0.008460984379053127,0.0,-0.04356731055304408,-0.009958881139755238,0.011551276594400417,0.0015419061099237296,0.006304898392409087,0.03514252230525017,0.043603506684303295,0.02013972999629914,0.030043346295133232,FF -> FF,unresponsive -> unresponsive,FF,FF,FB,unresponsive,unresponsive,FB,6.29857593381803,4.698575933818029,5.59245806181894,4.89245806181894,7.523059409744607,5.023059409744607,6.936999042926719,5.33699904292672,6.69573598388955,4.8957359838895504,,,-0.7134929807515586,3.101857318541355,0.7053536096074327,-10.823631,30.416456
8,standard::8,standard,0.00016169723202368052,0.04616865895566868,0.0003551601722213281,0.0073184014192329006,0.0022411598439907765,0.00040933804813168736,0.004768867869157143,0.5333770630529244,0.07697649134184932,0.0017477064227151473,5.607327425782187e-05,0.0023802385282353563,0.004206157592125237,0.002287317346781492,0.012171497568488121,0.003452865488361567,0.0038524506497196855,0.004704252525698394,0.013803462637588382,0.004241765802726149,0.011873893020674587,0.012225572997704149,0.020322375604882835,0.00953520624898374,un_FB,0.6549311665498899,0.6549311665498899,0,FF_FB_narrow_familiar,2.4566673180994747,1.8017361515495849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00035370694240555167,0.0024169351789169015,0.001631965069100261,0.000788900314364582,0.008021442370954902,0.007521320472005755,0.006518912967294453,0.005293440446257592,unresponsive -> unresponsive,unresponsive -> unresponsive,unresponsive,unresponsive,unresponsive,unresponsive,unresponsive,unresponsive,4.005869855730943,1.505869855730943,2.4566673180994747,1.2066673180994747,2.553627032531061,1.303627032531061,0.6549311665498899,0.6549311665498899,4.140575785251239,1.640575785251239,,,-0.20505367487656165,-1.5385740920051993,-0.5730924584932063,-2.203239,0.39585754
9,standard::9,standard,0.03917045055124804,0.0018421542570750558,0.08100799273610448,0.4299838886122674,0.08688558122158807,1.1512668384798035,0.09015456631552266,0.0005930268538440525,0.0005958281489295409,0.00030589035003396727,0.002607024249415415,0.0005775045560231228,0.0024453031248413025,0.012528601824305952,0.0003722167668456677,0.0895404176786542,0.0021090047841425983,0.008911410393193365,0.0001731394946546061,0.09117543436586857,0.0025642121472628787,0.016267210058867932,0.00032291405350406424,0.08825241364538669,FB_FB,2.4257290988683033,1.1757290988683036,3,un_FB,2.5404273844960716,0.11469828562776829,0.0,0.0,0.0,-0.0895404176786542,-0.09117543436586857,-0.08825241364538669,0.0,0.0,-0.0016350166872143718,0.002923020720481881,-0.0003362983406987041,-0.003617191431112587,-0.00019907727219106163,0.0016350166872143718,0.0004552073631202804,0.007355799665674567,0.00014977455884945814,-0.002923020720481881,unresponsive -> unresponsive,FB -> FB,unresponsive,unresponsive,unresponsive,FB,FB,FB,4.505279169199822,2.0052791691998224,4.158602003294162,1.6586020032941624,3.141445229100423,1.8914452291004233,2.5404273844960716,1.2904273844960719,2.4257290988683033,1.1757290988683036,,,-0.5911996503478899,0.7824322794796937,-0.8057950138995864,-14.2548065,-11.568706
