candidate_idx,search_group,receives_context_familiar,receives_context_novel,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,full_familiar_naive,occlusion_familiar_naive,full_novel_naive,occlusion_novel_naive,full_familiar_expert,occlusion_familiar_expert,full_novel_expert,occlusion_novel_expert,assigned_target,assigned_objective,assigned_rmse,assigned_mismatch_penalty,assigned_transition_bonus,second_target,second_objective,objective_gap,familiar,novel,familiar_naive_state,familiar_expert_state,novel_naive_state,novel_expert_state,familiar_naive_responsive,familiar_expert_responsive,novel_naive_responsive,novel_expert_responsive,familiar_naive_ff_scalar,familiar_naive_fb_scalar,familiar_expert_ff_scalar,familiar_expert_fb_scalar,novel_naive_ff_scalar,novel_naive_fb_scalar,novel_expert_ff_scalar,novel_expert_fb_scalar,familiar_transition,novel_transition,objective__FF_FB_broad,rmse__FF_FB_broad,mismatch__FF_FB_broad,objective__FF_un,rmse__FF_un,mismatch__FF_un,objective__FF_FB_narrow_familiar,rmse__FF_FB_narrow_familiar,mismatch__FF_FB_narrow_familiar,objective__FF_FB_narrow_novel,rmse__FF_FB_narrow_novel,mismatch__FF_FB_narrow_novel,objective__un_FB,rmse__un_FB,mismatch__un_FB,objective__un_un,rmse__un_un,mismatch__un_un,objective__FB_FB,rmse__FB_FB,mismatch__FB_FB
1,standard,True,True,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5,0.0,0.0,0.0,1.5410196313799438e-05,0.0,0.0003376076543645468,1.5139674455137234e-06,0.0006440798005011554,un_FB,-0.198005804697641,0.0,0,3.96011609395282,un_un,-0.18788082143164503,0.01012498326599598,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.632484922091135,1.4344791173934937,4,4.279829630533823,2.0818238258361816,4,2.1707613813383433,1.1701176166534424,2,4.058516467859045,3.0591602325439453,2,-0.198005804697641,0.0,0,-0.18788082143164503,0.01012498326599598,0,3.7778121325174654,1.5798063278198242,4
88,standard,True,True,0.006273327860981226,0.006051459349691868,0.011670454405248165,0.013477178290486336,1.902671217918396,1.6305431127548218,2.0,0.6877539157867432,0.0,0.0,0.0,1.8409978565614438e-05,0.0,0.00022294666111217037,1.5484710805443076e-06,0.0006523041044905161,un_FB,-0.19658640768848273,0.0016262708231806755,0,3.964253570233268,un_un,-0.18863046072892758,0.007955946959555149,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.632828290541693,1.4346156120300293,4,4.280033643324896,2.0818209648132324,4,2.1710157741017007,1.1701202392578125,2,4.058280671744857,3.059176206588745,2,-0.19658640768848273,0.0016262708231806755,0,-0.18863046072892758,0.009582217782735825,0,3.778768117507025,1.5805554389953613,4
98,standard,True,True,0.019199015572667122,0.00890183076262474,0.009472767822444439,0.004933620803058147,2.0,0.7980673909187317,1.6479649543762207,1.9494092464447021,0.0,0.0,2.2795118517630424e-05,1.3659681023151886e-05,0.0,0.00025207287932668503,1.4141670798532384e-06,0.0005496134981513023,un_FB,-0.1965200384326939,0.0018309985753148794,0,3.967020740160175,un_un,-0.18995632721974592,0.006563711212947965,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.6328638906304453,1.4345128536224365,4,4.2799893731896494,2.0816383361816406,4,2.1707671096155536,1.1701264381408691,2,4.05846138693596,3.0591020584106445,2,-0.1965200384326939,0.0018309985753148794,0,-0.18995632721974592,0.008394709788262844,0,3.7794761771981333,1.5811251401901245,4
86,standard,True,True,0.028404179960489273,0.021123554557561874,0.011976753361523151,0.006691454444080591,1.8883765935897827,0.7539568543434143,1.7161003351211548,2.0,0.0,0.0,2.168873991953054e-05,2.1388306716592827e-05,0.0,0.000449941531890848,1.2486248351706307e-06,0.0006970786188806717,un_FB,-0.19587742252551835,0.0017851596930995584,0,3.953251644372358,un_un,-0.18607573264089297,0.009801689884625375,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.631772985279531,1.434110403060913,4,4.279326429188222,2.0816638469696045,4,2.170646566029124,1.1701089143753052,2,4.058293563250967,3.058831214904785,2,-0.19587742252551835,0.0017851596930995584,0,-0.18607573264089297,0.011586849577724934,0,3.7762305639385887,1.5785679817199707,4
90,standard,True,True,0.00727230217307806,0.013584921136498451,0.004711232613772154,0.01180510874837637,1.1595841646194458,2.0,1.0134470462799072,2.0,0.0,0.0,0.0,1.77666083194102e-05,0.0,0.00015615848672799378,1.636671494982996e-06,0.0007106335717253387,un_FB,-0.19549743135218403,0.0027334513142704964,0,3.9646176533290904,un_un,-0.18811217185799858,0.007385259494185448,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.6328716478565792,1.4346407651901245,4,4.2800537548283195,2.0818228721618652,4,2.171262815295813,1.1701183319091797,2,4.0579642507442255,3.0591087341308594,2,-0.19549743135218403,0.0027334513142704964,0,-0.18811217185799858,0.010118710808455944,0,3.7788502178410153,1.5806193351745605,4
62,standard,True,True,0.0001560180535307154,0.02139727771282196,0.0014823211822658777,0.000537790940143168,1.6783503293991089,0.049143824726343155,1.2560547590255737,0.00021773144544567913,0.0002671508147386703,0.0008081896371246937,0.0001380064961267635,0.00011239320992899593,0.0,0.0005965479329461231,4.941633210364671e-06,0.001540084839022408,un_FB,-0.17581835960639486,0.01801598258316517,0,3.8766868437912003,un_un,-0.16758642544640073,0.008231934159994125,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.623702801891098,1.429868459701538,4,4.27270511550499,2.0788707733154297,4,2.1677894729567924,1.1672427654266357,2,4.0555577140854435,3.0561044216156006,2,-0.17581835960639486,0.01801598258316517,0,-0.16758642544640073,0.026247916743159294,0,3.7590120212514497,1.5651776790618896,4
102,standard,True,True,0.0157075896859169,0.012038624845445156,0.012490035966038704,0.01182404812425375,0.5082651972770691,1.8630987405776978,0.9905775189399719,0.9695467352867126,8.26962819549711e-06,0.0,0.0,7.02311836600226e-05,0.0,0.0019573147680299976,1.2159260298479543e-06,0.001234752581998085,un_FB,-0.16906452472571804,0.024394338950514793,0,3.8691772735246563,un_un,-0.16082050758664085,0.008244017139077187,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.6253660406476684,1.4319071769714355,4,4.275455304563684,2.081996440887451,4,2.168871994081883,1.1701931953430176,2,4.0591841983161885,3.0578629970550537,2,-0.16906452472571804,0.024394338950514793,0,-0.16082050758664085,0.03263835608959198,0,3.75698394435708,1.5635250806808472,4
17,standard,True,True,0.03634489327669144,0.0008921140688471496,0.0029194450471550226,0.00014089558681007475,1.0368753671646118,0.00013463686627801508,0.004933742806315422,0.4618102014064789,0.00032576914582023165,0.0012470054372291392,0.00023775133583209634,0.0003306722127793667,0.0001207977384183323,0.0021054422793289024,1.855363822566384e-05,0.002533209005681177,un_FB,-0.1462732889330558,0.04129405319690704,0,3.751346842599257,un_un,-0.1373178102648429,0.00895547866821289,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.6126266606724435,1.4250593185424805,4,4.264936316815632,2.077368974685669,4,2.16497602633608,1.1659531593322754,2,4.053915355881327,3.052938222885132,2,-0.1462732889330558,0.04129405319690704,0,-0.1373178102648429,0.050249531865119934,0,3.730135668126362,1.542568325996399,4
43,standard,True,True,0.0012534288689494133,0.0001556110510136932,0.062403738498687744,0.0036372158210724592,1.4486693143844604,0.0018954104743897915,0.03090234473347664,0.014509981498122215,0.0002133150603943553,0.005820242532839377,0.00014510804661161577,0.0002152331061855269,8.723829054323081e-05,0.011552727750192086,8.500986391860957e-07,0.0021602578189534446,un_FB,0.019534167570721656,0.1800372451543808,0,3.2100615516731827,un_un,0.02499690346206382,0.005462735891342163,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.5841953039935714,1.423692226409912,4,4.247396636085856,2.0868935585021973,4,2.150425559205663,1.1804205179214478,2,4.0869975031188615,3.057002544403076,2,0.019534167570721656,0.1800372451543808,0,0.02499690346206382,0.18549998104572296,0,3.6115345240405685,1.4510314464569092,4
51,standard,True,True,0.013898851349949837,0.0034413388930261135,0.00011295192234683782,0.0011037918739020824,0.0009188627591356635,0.00016276819224003702,0.21993771195411682,0.002597907790914178,0.004266842842722932,0.002101007045712322,0.002778485184535384,0.0033598188078030945,0.007734824204817414,0.005896763247437775,0.005018068050655226,0.00502054065776368,un_FB,0.028687529126182193,0.18792347609996796,0,3.184718939475715,un_un,0.03387456373311579,0.005187034606933594,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.452931992849335,1.2936960458755493,4,4.1150069163646545,1.9557709693908691,4,2.054161970674371,1.0614045858383179,2,3.9759935688382635,2.9687509536743164,2,0.028687529126182193,0.18792347609996796,0,0.03387456373311579,0.19311051070690155,0,3.637215010961518,1.477979063987732,4
