candidate_idx,search_group,receives_context_familiar,receives_context_novel,w_ff_0,w_ff_1,w_fb_0,w_fb_1,w_lat_0,w_lat_1,w_pv_lat_0,w_pv_lat_1,full_familiar_naive,occlusion_familiar_naive,full_novel_naive,occlusion_novel_naive,full_familiar_expert,occlusion_familiar_expert,full_novel_expert,occlusion_novel_expert,assigned_target,assigned_objective,assigned_rmse,assigned_mismatch_penalty,assigned_transition_bonus,second_target,second_objective,objective_gap,familiar,novel,familiar_naive_state,familiar_expert_state,novel_naive_state,novel_expert_state,familiar_naive_responsive,familiar_expert_responsive,novel_naive_responsive,novel_expert_responsive,familiar_naive_ff_scalar,familiar_naive_fb_scalar,familiar_expert_ff_scalar,familiar_expert_fb_scalar,novel_naive_ff_scalar,novel_naive_fb_scalar,novel_expert_ff_scalar,novel_expert_fb_scalar,familiar_transition,novel_transition,objective__FF_FB_broad,rmse__FF_FB_broad,mismatch__FF_FB_broad,objective__FF_un,rmse__FF_un,mismatch__FF_un,objective__FF_FB_narrow_familiar,rmse__FF_FB_narrow_familiar,mismatch__FF_FB_narrow_familiar,objective__FF_FB_narrow_novel,rmse__FF_FB_narrow_novel,mismatch__FF_FB_narrow_novel,objective__un_FB,rmse__un_FB,mismatch__un_FB,objective__un_un,rmse__un_un,mismatch__un_un,objective__FB_FB,rmse__FB_FB,mismatch__FB_FB,target
1,standard,True,True,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5,0.0,0.0,0.0,1.5410196313799438e-05,0.0,0.0003376076543645468,1.5139674455137234e-06,0.0006440798005011554,un_FB,-0.198005804697641,0.0,0,3.96011609395282,un_un,-0.18788082143164503,0.01012498326599598,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.632484922091135,1.4344791173934937,4,4.279829630533823,2.0818238258361816,4,2.1707613813383433,1.1701176166534424,2,4.058516467859045,3.0591602325439453,2,-0.198005804697641,0.0,0,-0.18788082143164503,0.01012498326599598,0,3.7778121325174654,1.5798063278198242,4,un_FB
2,standard,True,True,0.01,0.01,0.01,0.01,1.5,1.5,1.5,1.5,0.0,0.0,0.0,1.5410196313799438e-05,0.0,0.0003376076543645468,1.5139674455137234e-06,0.0006440798005011554,un_FB,-0.198005804697641,0.0,0,3.96011609395282,un_un,-0.18788082143164503,0.01012498326599598,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.632484922091135,1.4344791173934937,4,4.279829630533823,2.0818238258361816,4,2.1707613813383433,1.1701176166534424,2,4.058516467859045,3.0591602325439453,2,-0.198005804697641,0.0,0,-0.18788082143164503,0.01012498326599598,0,3.7778121325174654,1.5798063278198242,4,un_FB
88,standard,True,True,0.006273327860981226,0.006051459349691868,0.011670454405248165,0.013477178290486336,1.902671217918396,1.6305431127548218,2.0,0.6877539157867432,0.0,0.0,0.0,1.8409978565614438e-05,0.0,0.00022294666111217037,1.5484710805443076e-06,0.0006523041044905161,un_FB,-0.19658640768848273,0.0016262708231806755,0,3.964253570233268,un_un,-0.18863046072892758,0.007955946959555149,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.632828290541693,1.4346156120300293,4,4.280033643324896,2.0818209648132324,4,2.1710157741017007,1.1701202392578125,2,4.058280671744857,3.059176206588745,2,-0.19658640768848273,0.0016262708231806755,0,-0.18863046072892758,0.009582217782735825,0,3.778768117507025,1.5805554389953613,4,un_FB
98,standard,True,True,0.019199015572667122,0.00890183076262474,0.009472767822444439,0.004933620803058147,2.0,0.7980673909187317,1.6479649543762207,1.9494092464447021,0.0,0.0,2.2795118517630424e-05,1.3659681023151886e-05,0.0,0.00025207287932668503,1.4141670798532384e-06,0.0005496134981513023,un_FB,-0.1965200384326939,0.0018309985753148794,0,3.967020740160175,un_un,-0.18995632721974592,0.006563711212947965,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.6328638906304453,1.4345128536224365,4,4.2799893731896494,2.0816383361816406,4,2.1707671096155536,1.1701264381408691,2,4.05846138693596,3.0591020584106445,2,-0.1965200384326939,0.0018309985753148794,0,-0.18995632721974592,0.008394709788262844,0,3.7794761771981333,1.5811251401901245,4,un_FB
86,standard,True,True,0.028404179960489273,0.021123554557561874,0.011976753361523151,0.006691454444080591,1.8883765935897827,0.7539568543434143,1.7161003351211548,2.0,0.0,0.0,2.168873991953054e-05,2.1388306716592827e-05,0.0,0.000449941531890848,1.2486248351706307e-06,0.0006970786188806717,un_FB,-0.19587742252551835,0.0017851596930995584,0,3.953251644372358,un_un,-0.18607573264089297,0.009801689884625375,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.631772985279531,1.434110403060913,4,4.279326429188222,2.0816638469696045,4,2.170646566029124,1.1701089143753052,2,4.058293563250967,3.058831214904785,2,-0.19587742252551835,0.0017851596930995584,0,-0.18607573264089297,0.011586849577724934,0,3.7762305639385887,1.5785679817199707,4,un_FB
82,standard,True,True,0.011205523274838924,0.0032167527824640274,0.014726289547979832,0.01414492167532444,2.0,1.3056416511535645,1.1032607555389404,2.0,0.0,0.0,0.0,2.5429724276667307e-05,0.0,0.0003228392277378589,1.4387398948656482e-06,0.0007793715213968729,un_FB,-0.1958148303185832,0.0019298887345939875,0,3.9548943810635437,un_un,-0.18597617961701568,0.00983865070156753,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.6320960440882724,1.4343513250350952,4,4.279578081632523,2.0818333625793457,4,2.1710708118532542,1.1701068878173828,2,4.057988407507097,3.0589523315429688,2,-0.1958148303185832,0.0019298887345939875,0,-0.18597617961701568,0.011768539436161518,0,3.776604882741837,1.5788601636886597,4,un_FB
90,standard,True,True,0.00727230217307806,0.013584921136498451,0.004711232613772154,0.01180510874837637,1.1595841646194458,2.0,1.0134470462799072,2.0,0.0,0.0,0.0,1.77666083194102e-05,0.0,0.00015615848672799378,1.636671494982996e-06,0.0007106335717253387,un_FB,-0.19549743135218403,0.0027334513142704964,0,3.9646176533290904,un_un,-0.18811217185799858,0.007385259494185448,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.6328716478565792,1.4346407651901245,4,4.2800537548283195,2.0818228721618652,4,2.171262815295813,1.1701183319091797,2,4.0579642507442255,3.0591087341308594,2,-0.19549743135218403,0.0027334513142704964,0,-0.18811217185799858,0.010118710808455944,0,3.7788502178410153,1.5806193351745605,4,un_FB
84,standard,True,True,0.004424707032740116,0.012660659849643707,0.009213327430188656,0.0032468142453581095,1.5572912693023682,0.9822455644607544,2.0,2.0,0.0,0.0,1.9980162081386275e-05,8.859520054708506e-06,0.0,0.0004345088954626893,1.5661084887597098e-06,0.0004706067624889935,un_FB,-0.19532403876413204,0.0028257695958018303,0,3.962996167198677,un_un,-0.18922381070782043,0.006100228056311607,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.632538565111948,1.4343887567520142,4,4.279811271143747,2.0816614627838135,4,2.170244316244983,1.1701321601867676,2,4.059089799737072,3.059201955795288,2,-0.19532403876413204,0.0028257695958018303,0,-0.18922381070782043,0.008925997652113438,0,3.7785663685329687,1.5804165601730347,4,un_FB
99,standard,True,True,0.005940836388617754,0.0038414110895246267,0.009182797744870186,0.012733448296785355,1.1282216310501099,2.0,1.492722988128662,2.0,0.0,0.0,0.0,1.966639996074567e-05,0.0,0.0004522659231345945,1.563884861373784e-06,0.0007613500929437578,un_FB,-0.1952132216917259,0.0023202134761959314,0,3.9506687033584362,un_un,-0.18516436030919675,0.01004886138252914,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.6317415898462664,1.4342081546783447,4,4.279369181933059,2.0818357467651367,4,2.1707641505383437,1.1701066493988037,2,4.058292207799059,3.0589497089385986,2,-0.1952132216917259,0.0023202134761959314,0,-0.18516436030919675,0.012369074858725071,0,3.7756285136362444,1.5780950784683228,4,un_FB
93,standard,True,True,0.015173343941569328,0.009571335278451443,0.008481413125991821,0.015400715172290802,1.9860635995864868,1.600753664970398,1.1933140754699707,2.0,0.0,0.0,0.0,2.2385087019453444e-05,0.0,0.00014532939391453207,1.4944282118752501e-06,0.0007367614889517426,un_FB,-0.1951708006157181,0.00302024744451046,0,3.9638209612045707,un_un,-0.18774064485417816,0.007430155761539936,unresponsive -> unresponsive,unresponsive -> unresponsive,0.0,0.0,0.0,0.0,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,unresponsive -> unresponsive,unresponsive -> unresponsive,3.632817031298449,1.4346259832382202,4,4.280016542826464,2.0818254947662354,4,2.171344416552529,1.1701167821884155,2,4.057841283864036,3.0590689182281494,2,-0.1951708006157181,0.00302024744451046,0,-0.18774064485417816,0.010450403206050396,0,3.7786673320873283,1.5804762840270996,4,un_FB
